complaint_id,description,violation_category
C00025,The student was caught nagdala ng cellphone kahit bawal sa classroom. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C00026,According to CCTV footage naglagay ng sticker sa ID sa hallway. (colored nail polish),Colored Nail Polish
C00027,nakita ko na uminom ng alak sa canteen. (bullying students verbally),Bullying Students Verbally
C00028,Based on teacher's report walang suot na ID sa classroom. (verbal or physical altercation),Verbal or Physical Altercation
C00029,The student was caught walang suot na ID sa hallway. (organizing destructive groups),Organizing Destructive Groups
C00030,The student was observed nangopya malapit sa gate. (using foul gestures),Using Foul Gestures
C00031,nahuli siya na naka improper uniform sa classroom. (willful damage of property),Willful Damage of Property
C00032,nakita ko na sumisigaw sa gym. (not following prescribed haircut),Not Following Prescribed Haircut
C00033,The student was observed sumisigaw sa computer lab. (inciting others to break rules),Inciting Others to Break Rules
C00034,As stated in the complaint uminom ng alak malapit sa gate. (bullying students verbally),Bullying Students Verbally
C00035,The student was caught nagche-cheat sa exam sa classroom. (wearing scarves or caps),Wearing Scarves or Caps
C00036,nahuli siya na walang suot na ID sa gym. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C00037,nagreport si teacher na sumisigaw sa computer lab. (leaving classroom without permission),Leaving Classroom Without Permission
C00038,Based on teacher's report naka improper uniform malapit sa gate. (bullying students physically),Bullying Students Physically
C00039,nahuli siya na sumisigaw sa canteen. (wearing school uniform improperly),Wearing School Uniform Improperly
C00040,The student was caught nakipagsuntukan sa library. (bullying students verbally),Bullying Students Verbally
C00041,As stated in the complaint nag-aaway sa hallway. (grave threats),Grave Threats
C00042,The student was caught nag-aaway sa gym. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C00043,nagreport si teacher na nangopya sa canteen. (spreading gossip online),Spreading Gossip Online
C00044,The student was observed naka improper uniform sa canteen. (indecent attire),Indecent Attire
C00045,caught siya na nag-aaway sa canteen. (verbal or physical altercation),Verbal or Physical Altercation
C00046,It was reported that nangopya sa gym. (forgery),Forgery
C00047,The student was observed walang suot na ID sa computer lab. (lack of respect to faculty),Lack of Respect to Faculty
C00048,The student was caught sumisigaw malapit sa gate. (consistent violation of rules),Consistent Violation of Rules
C00049,It was reported that nagpost ng bastos na picture sa hallway. (bullying students verbally),Bullying Students Verbally
C00050,may nagsumbong na nangopya sa classroom. (bullying students physically),Bullying Students Physically
C00051,sinabihan ako na nangopya sa classroom. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00052,Based on teacher's report uminom ng alak sa library. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C00053,may nagsumbong na naka improper uniform malapit sa gate. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C00054,The student was observed nagpost ng bastos na picture sa computer lab. (shoplifting),Shoplifting
C00055,nagreport si teacher na naka improper uniform sa gym. (jumping over the fence),Jumping Over the Fence
C00056,sinabihan ako na nagyoyosi sa hallway. (willful damage of property),Willful Damage of Property
C00057,sinabihan ako na naglagay ng sticker sa ID sa gym. (using another person’s identity),Using Another Person’s Identity
C00058,Based on teacher's report nang-insulto ng teacher sa canteen. (displaying pornographic materials),Displaying Pornographic Materials
C00059,According to CCTV footage naka improper uniform malapit sa gate. (engaging in gambling),Engaging in Gambling
C00060,It was reported that nagpost ng bastos na picture sa library. (assault fellow students),Assault Fellow Students
C00061,As stated in the complaint naglagay ng sticker sa ID sa hallway. (bullying students verbally),Bullying Students Verbally
C00062,nagreport si teacher na walang suot na ID sa gym. (littering the campus),Littering the Campus
C00063,It was reported that sumisigaw sa canteen. (unauthorized access to school computer),Unauthorized Access to School Computer
C00064,may nagsumbong na nag-aaway sa canteen. (tampering with network settings),Tampering with Network Settings
C00065,sinabihan ako na nag-aaway sa gym. (insubordination to authorities),Insubordination to Authorities
C00066,It was reported that naglagay ng sticker sa ID sa gym. (deleting or damaging files),Deleting or Damaging Files
C00067,As stated in the complaint nagyoyosi sa hallway. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C00068,sinabihan ako na uminom ng alak malapit sa gate. (verbal or physical altercation),Verbal or Physical Altercation
C00069,As stated in the complaint nang-insulto ng teacher sa hallway. (gambling or betting),Gambling or Betting
C00070,The student was caught nagpost ng bastos na picture sa classroom. (wearing heavy make-up),Wearing Heavy Make-up
C00071,nakita ko na nag-aaway malapit sa gate. (vandalism),Vandalism
C00072,caught siya na nagche-cheat sa exam sa canteen. (insubordination to authorities),Insubordination to Authorities
C00073,may nagsumbong na walang suot na ID malapit sa gate. (willful damage of property),Willful Damage of Property
C00074,According to CCTV footage uminom ng alak sa library. (inciting others to break rules),Inciting Others to Break Rules
C00075,may nagsumbong na naka improper uniform sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C00076,nagreport si teacher na nagpost ng bastos na picture sa gym. (not following prescribed haircut),Not Following Prescribed Haircut
C00077,may nagsumbong na nagdala ng cellphone kahit bawal sa canteen. (spreading gossip online),Spreading Gossip Online
C00078,According to CCTV footage sumisigaw malapit sa gate. (inciting others to break rules),Inciting Others to Break Rules
C00079,It was reported that uminom ng alak sa hallway. (extortion or blackmail),Extortion or Blackmail
C00080,Based on teacher's report walang suot na ID sa hallway. (participating in indecent conduct),Participating in Indecent Conduct
C00081,The student was caught uminom ng alak sa library. (failure to comply with investigation),Failure to Comply with Investigation
C00082,The student was caught nagdala ng cellphone kahit bawal sa canteen. (membership in fraternities),Membership in Fraternities
C00083,may nagsumbong na nag-aaway sa gym. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00084,nakita ko na nag-aaway sa hallway. (indecent attire),Indecent Attire
C00085,sinabihan ako na nagche-cheat sa exam sa hallway. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00086,The student was caught nakipagsuntukan sa canteen. (bringing dishonor to school),Bringing Dishonor to School
C00087,Based on teacher's report walang suot na ID sa hallway. (assault fellow students),Assault Fellow Students
C00088,nakita ko na nakipagsuntukan sa gym. (use of foul language),Use of Foul Language
C00089,may nagsumbong na nagpost ng bastos na picture sa computer lab. (forging signatures),Forging Signatures
C00090,The student was caught uminom ng alak sa hallway. (spreading gossip online),Spreading Gossip Online
C00091,The student was observed uminom ng alak sa computer lab. (wearing scarves or caps),Wearing Scarves or Caps
C00092,It was reported that nang-insulto ng teacher sa computer lab. (engaging in premarital sex),Engaging in Premarital Sex
C00093,may nagsumbong na uminom ng alak malapit sa gate. (verbal or physical altercation),Verbal or Physical Altercation
C00094,It was reported that uminom ng alak sa gym. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C00095,caught siya na nangopya malapit sa gate. (wearing scarves or caps),Wearing Scarves or Caps
C00096,nakita ko na nagyoyosi sa classroom. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C00097,sinabihan ako na walang suot na ID sa canteen. (bullying students physically),Bullying Students Physically
C00098,It was reported that naka improper uniform sa gym. (posting indecent pictures online),Posting Indecent Pictures Online
C00099,nakita ko na nag-aaway sa computer lab. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C00100,The student was caught nagdala ng cellphone kahit bawal sa computer lab. (stealing school or student property),Stealing School or Student Property
C00101,It was reported that nagche-cheat sa exam sa gym. (posting indecent pictures online),Posting Indecent Pictures Online
C00102,As stated in the complaint nag-aaway sa hallway. (bullying students physically),Bullying Students Physically
C00103,caught siya na nagche-cheat sa exam sa classroom. (posting destructive language online),Posting Destructive Language Online
C00104,It was reported that nagyoyosi sa classroom. (assault fellow students),Assault Fellow Students
C00105,According to CCTV footage nagpost ng bastos na picture malapit sa gate. (insubordination to authorities),Insubordination to Authorities
C00106,may nagsumbong na nagche-cheat sa exam malapit sa gate. (forgery),Forgery
C00107,nahuli siya na nagyoyosi sa classroom. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00108,caught siya na nagpost ng bastos na picture sa hallway. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C00109,It was reported that naglagay ng sticker sa ID sa computer lab. (organizing destructive groups),Organizing Destructive Groups
C00110,nagreport si teacher na nang-insulto ng teacher sa computer lab. (unauthorized access to school computer),Unauthorized Access to School Computer
C00111,may nagsumbong na naglagay ng sticker sa ID sa gym. (posting destructive language online),Posting Destructive Language Online
C00112,It was reported that nangopya malapit sa gate. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C00113,According to CCTV footage nag-aaway sa computer lab. (grave threats),Grave Threats
C00114,The student was caught nang-insulto ng teacher sa hallway. (use of foul language),Use of Foul Language
C00115,nakita ko na uminom ng alak sa hallway. (bullying students verbally),Bullying Students Verbally
C00116,nakita ko na nag-aaway sa classroom. (extortion or blackmail),Extortion or Blackmail
C00117,nagreport si teacher na nang-insulto ng teacher sa hallway. (viewing pornographic sites),Viewing Pornographic Sites
C00118,The student was caught nag-aaway malapit sa gate. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00119,Based on teacher's report nagdala ng cellphone kahit bawal sa hallway. (bringing dishonor to school),Bringing Dishonor to School
C00120,The student was caught nag-aaway sa gym. (leaving classroom without permission),Leaving Classroom Without Permission
C00121,As stated in the complaint nagdala ng cellphone kahit bawal sa library. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C00122,may nagsumbong na nagpost ng bastos na picture sa library. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C00123,nakita ko na nakipagsuntukan sa library. (shoplifting),Shoplifting
C00124,The student was caught nagdala ng cellphone kahit bawal sa canteen. (not following prescribed haircut),Not Following Prescribed Haircut
C00125,caught siya na nang-insulto ng teacher sa gym. (grave threats),Grave Threats
C00126,may nagsumbong na uminom ng alak sa computer lab. (not attending school activities),Not Attending School Activities
C00127,Based on teacher's report sumisigaw malapit sa gate. (vandalism),Vandalism
C00128,According to CCTV footage nagyoyosi malapit sa gate. (wearing school uniform improperly),Wearing School Uniform Improperly
C00129,nahuli siya na nagyoyosi sa classroom. (leaving classroom without permission),Leaving Classroom Without Permission
C00130,According to CCTV footage nag-aaway sa hallway. (deleting or damaging files),Deleting or Damaging Files
C00131,It was reported that nang-insulto ng teacher sa library. (using foul gestures),Using Foul Gestures
C00132,The student was caught nang-insulto ng teacher sa library. (organizing destructive groups),Organizing Destructive Groups
C00133,Based on teacher's report sumisigaw malapit sa gate. (inciting others to break rules),Inciting Others to Break Rules
C00134,nahuli siya na sumisigaw sa library. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C00135,may nagsumbong na nakipagsuntukan sa hallway. (grave threats),Grave Threats
C00136,As stated in the complaint uminom ng alak sa canteen. (deleting or damaging files),Deleting or Damaging Files
C00137,nakita ko na uminom ng alak sa classroom. (engaging in gambling),Engaging in Gambling
C00138,According to CCTV footage naglagay ng sticker sa ID sa library. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C00139,The student was caught walang suot na ID sa gym. (posting indecent pictures online),Posting Indecent Pictures Online
C00140,nakita ko na naglagay ng sticker sa ID sa hallway. (assault fellow students),Assault Fellow Students
C00141,It was reported that uminom ng alak sa classroom. (insubordination to authorities),Insubordination to Authorities
C00142,nakita ko na uminom ng alak sa classroom. (forging signatures),Forging Signatures
C00143,According to CCTV footage nakipagsuntukan sa hallway. (viewing pornographic sites),Viewing Pornographic Sites
C00144,According to CCTV footage nakipagsuntukan sa classroom. (viewing pornographic sites),Viewing Pornographic Sites
C00145,nahuli siya na nagche-cheat sa exam sa hallway. (bullying faculty members),Bullying Faculty Members
C00146,may nagsumbong na uminom ng alak sa canteen. (vandalism),Vandalism
C00147,The student was caught uminom ng alak sa gym. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C00148,nakita ko na nangopya sa computer lab. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00149,caught siya na nagdala ng cellphone kahit bawal malapit sa gate. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C00150,As stated in the complaint sumisigaw sa library. (deleting or damaging files),Deleting or Damaging Files
C00151,Based on teacher's report sumisigaw sa gym. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C00152,sinabihan ako na nangopya sa canteen. (indecency in media),Indecency in Media
C00153,It was reported that naka improper uniform sa classroom. (bringing dishonor to school),Bringing Dishonor to School
C00154,The student was caught walang suot na ID malapit sa gate. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C00155,caught siya na sumisigaw sa canteen. (use of foul language),Use of Foul Language
C00156,nakita ko na sumisigaw sa classroom. (drug pushing),Drug Pushing
C00157,The student was observed sumisigaw sa hallway. (wearing school uniform improperly),Wearing School Uniform Improperly
C00158,may nagsumbong na nang-insulto ng teacher sa hallway. (deleting or damaging files),Deleting or Damaging Files
C00159,The student was caught nagche-cheat sa exam malapit sa gate. (using foul gestures),Using Foul Gestures
C00160,nahuli siya na nakipagsuntukan sa library. (stealing school or student property),Stealing School or Student Property
C00161,According to CCTV footage nag-aaway sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C00162,caught siya na sumisigaw sa classroom. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00163,may nagsumbong na nakipagsuntukan sa library. (drug pushing),Drug Pushing
C00164,nagreport si teacher na nagdala ng cellphone kahit bawal sa gym. (colored nail polish),Colored Nail Polish
C00165,According to CCTV footage sumisigaw sa library. (unauthorized access to school computer),Unauthorized Access to School Computer
C00166,It was reported that naglagay ng sticker sa ID sa computer lab. (extortion or blackmail),Extortion or Blackmail
C00167,Based on teacher's report nag-aaway sa classroom. (not attending school activities),Not Attending School Activities
C00168,The student was observed nag-aaway sa computer lab. (wearing heavy make-up),Wearing Heavy Make-up
C00169,Based on teacher's report uminom ng alak sa canteen. (indecent attire),Indecent Attire
C00170,The student was observed nang-insulto ng teacher malapit sa gate. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C00171,nahuli siya na naglagay ng sticker sa ID sa canteen. (colored nail polish),Colored Nail Polish
C00172,It was reported that walang suot na ID sa canteen. (deleting or damaging files),Deleting or Damaging Files
C00173,caught siya na nangopya sa canteen. (insubordination to authorities),Insubordination to Authorities
C00174,As stated in the complaint nagyoyosi sa hallway. (posting indecent pictures online),Posting Indecent Pictures Online
C00175,As stated in the complaint nagche-cheat sa exam malapit sa gate. (viewing pornographic sites),Viewing Pornographic Sites
C00176,nahuli siya na uminom ng alak sa gym. (real acts of threat),Real Acts of Threat
C00177,Based on teacher's report nagdala ng cellphone kahit bawal sa computer lab. (indecency in media),Indecency in Media
C00178,According to CCTV footage nakipagsuntukan sa classroom. (willful damage of property),Willful Damage of Property
C00179,may nagsumbong na nang-insulto ng teacher sa computer lab. (direct assault on authority),Direct Assault on Authority
C00180,It was reported that nagpost ng bastos na picture sa library. (using another person’s identity),Using Another Person’s Identity
C00181,The student was caught naka improper uniform sa library. (unauthorized use of information),Unauthorized Use of Information
C00182,Based on teacher's report nagdala ng cellphone kahit bawal malapit sa gate. (deleting or damaging files),Deleting or Damaging Files
C00183,may nagsumbong na nag-aaway sa gym. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C00184,The student was observed sumisigaw sa computer lab. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C00185,According to CCTV footage walang suot na ID sa computer lab. (organizing destructive groups),Organizing Destructive Groups
C00186,nagreport si teacher na naglagay ng sticker sa ID sa hallway. (wearing school uniform improperly),Wearing School Uniform Improperly
C00187,The student was observed nangopya sa gym. (gambling or betting),Gambling or Betting
C00188,Based on teacher's report nangopya malapit sa gate. (lack of respect to faculty),Lack of Respect to Faculty
C00189,sinabihan ako na nagyoyosi sa computer lab. (stealing school or student property),Stealing School or Student Property
C00190,nagreport si teacher na nangopya sa classroom. (lack of respect to faculty),Lack of Respect to Faculty
C00191,caught siya na nang-insulto ng teacher sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C00192,According to CCTV footage nagdala ng cellphone kahit bawal sa computer lab. (leaving classroom without permission),Leaving Classroom Without Permission
C00193,may nagsumbong na nangopya sa canteen. (not following prescribed haircut),Not Following Prescribed Haircut
C00194,sinabihan ako na walang suot na ID sa computer lab. (not following prescribed haircut),Not Following Prescribed Haircut
C00195,According to CCTV footage naka improper uniform malapit sa gate. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C00196,sinabihan ako na nang-insulto ng teacher sa library. (bullying students physically),Bullying Students Physically
C00197,The student was observed uminom ng alak sa gym. (indecent attire),Indecent Attire
C00198,Based on teacher's report uminom ng alak sa classroom. (bullying students verbally),Bullying Students Verbally
C00199,According to CCTV footage nakipagsuntukan malapit sa gate. (stealing school or student property),Stealing School or Student Property
C00200,may nagsumbong na nakipagsuntukan sa hallway. (consistent violation of rules),Consistent Violation of Rules
C00201,The student was observed uminom ng alak sa hallway. (drug pushing),Drug Pushing
C00202,nakita ko na naka improper uniform sa canteen. (membership in fraternities),Membership in Fraternities
C00203,Based on teacher's report nagche-cheat sa exam sa gym. (engaging in gambling),Engaging in Gambling
C00204,may nagsumbong na walang suot na ID sa hallway. (unauthorized use of information),Unauthorized Use of Information
C00205,nahuli siya na nagpost ng bastos na picture sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C00206,According to CCTV footage nagdala ng cellphone kahit bawal sa classroom. (unauthorized access to school computer),Unauthorized Access to School Computer
C00207,It was reported that nagdala ng cellphone kahit bawal sa classroom. (bringing dishonor to school),Bringing Dishonor to School
C00208,As stated in the complaint nagdala ng cellphone kahit bawal sa gym. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C00209,caught siya na naka improper uniform sa library. (falsification of documents),Falsification of Documents
C00210,nakita ko na nangopya sa canteen. (engaging in premarital sex),Engaging in Premarital Sex
C00211,As stated in the complaint sumisigaw sa library. (drug pushing),Drug Pushing
C00212,As stated in the complaint nagpost ng bastos na picture sa library. (spreading gossip online),Spreading Gossip Online
C00213,caught siya na naglagay ng sticker sa ID sa library. (real acts of threat),Real Acts of Threat
C00214,may nagsumbong na nagyoyosi sa hallway. (engaging in gambling),Engaging in Gambling
C00215,may nagsumbong na walang suot na ID sa gym. (jumping over the fence),Jumping Over the Fence
C00216,caught siya na nagdala ng cellphone kahit bawal sa gym. (lack of respect to faculty),Lack of Respect to Faculty
C00217,sinabihan ako na naglagay ng sticker sa ID sa library. (participating in indecent conduct),Participating in Indecent Conduct
C00218,As stated in the complaint nangopya sa canteen. (gambling or betting),Gambling or Betting
C00219,According to CCTV footage nagdala ng cellphone kahit bawal sa library. (using another person’s identity),Using Another Person’s Identity
C00220,It was reported that naglagay ng sticker sa ID sa classroom. (real acts of threat),Real Acts of Threat
C00221,It was reported that nangopya sa hallway. (spreading gossip online),Spreading Gossip Online
C00222,As stated in the complaint nag-aaway sa canteen. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C00223,It was reported that nagche-cheat sa exam malapit sa gate. (forging signatures),Forging Signatures
C00224,The student was observed naka improper uniform sa hallway. (participating in indecent conduct),Participating in Indecent Conduct
C00225,nagreport si teacher na nagpost ng bastos na picture sa gym. (not attending school activities),Not Attending School Activities
C00226,nahuli siya na uminom ng alak sa computer lab. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C00227,As stated in the complaint naglagay ng sticker sa ID sa hallway. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00228,As stated in the complaint nagyoyosi malapit sa gate. (not attending school activities),Not Attending School Activities
C00229,nagreport si teacher na nag-aaway sa gym. (posting indecent pictures online),Posting Indecent Pictures Online
C00230,It was reported that nagyoyosi sa computer lab. (engaging in gambling),Engaging in Gambling
C00231,As stated in the complaint nakipagsuntukan sa gym. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C00232,may nagsumbong na nag-aaway sa gym. (bullying students verbally),Bullying Students Verbally
C00233,caught siya na nagche-cheat sa exam sa library. (direct assault on authority),Direct Assault on Authority
C00234,may nagsumbong na walang suot na ID sa gym. (unauthorized access to school computer),Unauthorized Access to School Computer
C00235,nahuli siya na nangopya sa canteen. (providing or financing drugs),Providing or Financing Drugs
C00236,The student was observed nag-aaway sa library. (wearing heavy make-up),Wearing Heavy Make-up
C00237,caught siya na nagche-cheat sa exam sa computer lab. (wearing heavy make-up),Wearing Heavy Make-up
C00238,As stated in the complaint nang-insulto ng teacher sa classroom. (wearing heavy make-up),Wearing Heavy Make-up
C00239,The student was observed nakipagsuntukan sa computer lab. (unauthorized use of information),Unauthorized Use of Information
C00240,nahuli siya na uminom ng alak sa canteen. (bullying students physically),Bullying Students Physically
C00241,The student was observed naka improper uniform sa canteen. (verbal or physical altercation),Verbal or Physical Altercation
C00242,Based on teacher's report nagdala ng cellphone kahit bawal malapit sa gate. (insubordination to authorities),Insubordination to Authorities
C00243,nagreport si teacher na sumisigaw sa library. (bullying students physically),Bullying Students Physically
C00244,nahuli siya na naka improper uniform sa library. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C00245,According to CCTV footage uminom ng alak sa canteen. (vandalism),Vandalism
C00246,It was reported that naglagay ng sticker sa ID sa canteen. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C00247,As stated in the complaint naglagay ng sticker sa ID sa library. (organizing destructive groups),Organizing Destructive Groups
C00248,may nagsumbong na naglagay ng sticker sa ID sa gym. (providing or financing drugs),Providing or Financing Drugs
C00249,As stated in the complaint walang suot na ID sa canteen. (posting indecent pictures online),Posting Indecent Pictures Online
C00250,As stated in the complaint nakipagsuntukan sa computer lab. (bullying students physically),Bullying Students Physically
C00251,Based on teacher's report naglagay ng sticker sa ID sa library. (using foul gestures),Using Foul Gestures
C00252,The student was caught naglagay ng sticker sa ID sa hallway. (bullying students physically),Bullying Students Physically
C00253,sinabihan ako na nangopya sa classroom. (willful damage of property),Willful Damage of Property
C00254,caught siya na nagdala ng cellphone kahit bawal sa library. (deleting or damaging files),Deleting or Damaging Files
C00255,nagreport si teacher na nagpost ng bastos na picture sa hallway. (littering the campus),Littering the Campus
C00256,may nagsumbong na nagpost ng bastos na picture sa hallway. (insubordination to authorities),Insubordination to Authorities
C00257,It was reported that naglagay ng sticker sa ID sa classroom. (using gadgets without permission),Using Gadgets Without Permission
C00258,caught siya na nagpost ng bastos na picture malapit sa gate. (placing stickers on school id),Placing Stickers on School ID
C00259,Based on teacher's report uminom ng alak sa computer lab. (failure to comply with investigation),Failure to Comply with Investigation
C00260,According to CCTV footage naka improper uniform sa computer lab. (tampering with network settings),Tampering with Network Settings
C00261,nahuli siya na nagdala ng cellphone kahit bawal sa computer lab. (tampering with network settings),Tampering with Network Settings
C00262,The student was caught nagpost ng bastos na picture sa computer lab. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00263,It was reported that nagpost ng bastos na picture sa hallway. (spreading gossip online),Spreading Gossip Online
C00264,The student was observed nagyoyosi malapit sa gate. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C00265,The student was caught naglagay ng sticker sa ID sa computer lab. (lack of respect to faculty),Lack of Respect to Faculty
C00266,nakita ko na walang suot na ID malapit sa gate. (deleting or damaging files),Deleting or Damaging Files
C00267,nagreport si teacher na sumisigaw sa canteen. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C00268,According to CCTV footage nagyoyosi sa computer lab. (spreading gossip online),Spreading Gossip Online
C00269,As stated in the complaint nakipagsuntukan sa gym. (leaving classroom without permission),Leaving Classroom Without Permission
C00270,Based on teacher's report sumisigaw sa canteen. (not attending school activities),Not Attending School Activities
C00271,nakita ko na nagdala ng cellphone kahit bawal sa library. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00272,The student was caught naka improper uniform sa classroom. (engaging in premarital sex),Engaging in Premarital Sex
C00273,caught siya na nakipagsuntukan sa computer lab. (wearing school uniform improperly),Wearing School Uniform Improperly
C00274,sinabihan ako na nagpost ng bastos na picture malapit sa gate. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00275,may nagsumbong na nagpost ng bastos na picture sa hallway. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C00276,It was reported that walang suot na ID sa hallway. (bringing dishonor to school),Bringing Dishonor to School
C00277,The student was caught nagyoyosi sa canteen. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00278,nagreport si teacher na walang suot na ID sa gym. (using gadgets without permission),Using Gadgets Without Permission
C00279,nahuli siya na sumisigaw sa canteen. (displaying pornographic materials),Displaying Pornographic Materials
C00280,may nagsumbong na uminom ng alak sa hallway. (bullying students physically),Bullying Students Physically
C00281,sinabihan ako na nagdala ng cellphone kahit bawal sa library. (use of foul language),Use of Foul Language
C00282,caught siya na nang-insulto ng teacher sa library. (leaving classroom without permission),Leaving Classroom Without Permission
C00283,nakita ko na sumisigaw sa classroom. (falsification of documents),Falsification of Documents
C00284,nakita ko na naka improper uniform sa classroom. (organizing destructive groups),Organizing Destructive Groups
C00285,caught siya na nag-aaway sa hallway. (grave threats),Grave Threats
C00286,Based on teacher's report nagche-cheat sa exam sa hallway. (bullying faculty members),Bullying Faculty Members
C00287,As stated in the complaint nagpost ng bastos na picture sa gym. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C00288,nagreport si teacher na uminom ng alak sa classroom. (deleting or damaging files),Deleting or Damaging Files
