frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,no_violation_count,avg_severity,behavior_ratio,will_reoffend_same_violation,next_repeated_violation
18,5,8,1,5,0,6,3.6,2.571,0,Unexcused Tardiness/absence From Class
5,1,7,1,23,0,8,0.391,0.556,1,Unexcused Tardiness/absence From Class
20,5,8,2,24,1,13,0.75,1.429,1,Unexcused Tardiness/absence From Class
14,5,6,1,16,1,14,1.0,0.933,1,Unexcused Tardiness/absence From Class
2,2,2,0,9,0,14,0.667,0.133,0,Unexcused Tardiness/absence From Class
20,0,4,2,19,0,1,0.211,10.0,0,Unexcused Tardiness/absence From Class
6,2,3,1,9,0,13,0.778,0.429,1,Unexcused Tardiness/absence From Class
1,2,7,0,11,0,11,1.0,0.083,1,Unexcused Tardiness/absence From Class
8,4,5,2,20,0,6,0.65,1.143,1,Unexcused Tardiness/absence From Class
13,4,1,0,27,1,11,0.333,1.083,1,Unexcused Tardiness/absence From Class
14,5,2,2,22,0,1,0.545,7.0,0,Unexcused Tardiness/absence From Class
15,5,4,1,19,0,1,0.737,7.5,1,Unexcused Tardiness/absence From Class
7,2,0,1,22,1,15,0.182,0.438,1,Unexcused Tardiness/absence From Class
12,0,5,2,9,1,1,0.556,6.0,0,Unexcused Tardiness/absence From Class
19,5,8,0,20,0,10,0.9,1.727,1,Unexcused Tardiness/absence From Class
9,5,2,1,19,1,11,0.632,0.75,1,Unexcused Tardiness/absence From Class
1,4,7,1,21,0,1,0.714,0.5,0,Unexcused Tardiness/absence From Class
12,5,2,0,14,1,4,0.857,2.4,1,Unexcused Tardiness/absence From Class
5,2,6,1,21,0,15,0.476,0.312,0,Unexcused Tardiness/absence From Class
6,5,7,2,14,1,2,1.214,2.0,1,Unexcused Tardiness/absence From Class
4,4,0,0,25,1,4,0.32,0.8,0,Unexcused Tardiness/absence From Class
20,2,4,0,5,1,1,1.6,10.0,0,Unexcused Tardiness/absence From Class
16,2,1,1,14,0,0,0.357,16.0,1,Unexcused Tardiness/absence From Class
8,0,5,1,6,0,5,0.833,1.333,0,Unexcused Tardiness/absence From Class
20,4,6,0,27,1,13,0.519,1.429,1,Unexcused Tardiness/absence From Class
5,5,6,0,10,1,15,1.6,0.312,1,Unexcused Tardiness/absence From Class
6,4,2,1,6,0,5,1.667,1.0,0,Unexcused Tardiness/absence From Class
16,2,1,0,23,1,12,0.217,1.231,1,Unexcused Tardiness/absence From Class
3,1,7,1,13,1,10,0.692,0.273,0,Unexcused Tardiness/absence From Class
15,3,0,0,4,1,4,1.5,3.0,1,Unexcused Tardiness/absence From Class
9,1,1,0,28,1,2,0.107,3.0,1,Unexcused Tardiness/absence From Class
13,1,8,2,3,1,11,3.333,1.083,1,Unexcused Tardiness/absence From Class
14,3,7,0,5,0,11,2.6,1.167,1,Unexcused Tardiness/absence From Class
15,0,4,0,6,1,10,0.667,1.364,1,Unexcused Tardiness/absence From Class
10,4,3,0,3,0,7,3.667,1.25,0,Unexcused Tardiness/absence From Class
17,4,0,2,24,1,8,0.333,1.889,1,Unexcused Tardiness/absence From Class
8,5,8,0,18,0,7,1.0,1.0,1,Unexcused Tardiness/absence From Class
18,1,7,0,22,1,3,0.409,4.5,1,Unexcused Tardiness/absence From Class
14,1,1,0,24,1,3,0.125,3.5,0,Unexcused Tardiness/absence From Class
10,0,3,0,9,1,11,0.333,0.833,1,Unexcused Tardiness/absence From Class
4,5,6,2,27,1,13,0.593,0.286,1,Unexcused Tardiness/absence From Class
15,2,5,0,5,1,4,1.8,3.0,1,Unexcused Tardiness/absence From Class
18,5,2,2,28,0,2,0.429,6.0,0,Unexcused Tardiness/absence From Class
15,1,1,0,23,1,14,0.13,1.0,0,Unexcused Tardiness/absence From Class
15,5,3,1,7,1,9,1.857,1.5,1,Unexcused Tardiness/absence From Class
16,5,6,2,28,1,11,0.571,1.333,0,Unexcused Tardiness/absence From Class
19,5,8,1,4,0,7,4.5,2.375,1,Unexcused Tardiness/absence From Class
16,2,0,1,12,1,1,0.333,8.0,1,Unexcused Tardiness/absence From Class
12,5,3,1,8,1,2,1.625,4.0,0,Unexcused Tardiness/absence From Class
19,0,4,0,17,0,4,0.235,3.8,0,Unexcused Tardiness/absence From Class
14,0,3,1,22,0,8,0.136,1.556,1,Unexcused Tardiness/absence From Class
8,2,0,1,3,1,11,1.333,0.667,1,Unexcused Tardiness/absence From Class
17,1,8,1,29,1,2,0.345,5.667,1,Unexcused Tardiness/absence From Class
11,4,2,0,15,0,10,0.667,1.0,1,Unexcused Tardiness/absence From Class
9,2,6,0,30,0,9,0.333,0.9,1,Unexcused Tardiness/absence From Class
8,4,3,1,6,0,14,1.833,0.533,0,Unexcused Tardiness/absence From Class
5,3,6,0,22,1,5,0.545,0.833,1,Unexcused Tardiness/absence From Class
19,4,3,1,23,0,13,0.478,1.357,1,Unexcused Tardiness/absence From Class
13,5,6,0,14,1,3,1.143,3.25,1,Unexcused Tardiness/absence From Class
10,3,1,0,28,1,8,0.25,1.111,0,Unexcused Tardiness/absence From Class
11,4,1,2,12,1,13,0.75,0.786,1,Unexcused Tardiness/absence From Class
18,3,4,2,3,1,8,3.333,2.0,0,Unexcused Tardiness/absence From Class
15,5,4,1,20,0,14,0.7,1.0,1,Unexcused Tardiness/absence From Class
20,1,1,2,18,1,0,0.167,20.0,1,Unexcused Tardiness/absence From Class
4,4,0,0,3,0,5,2.667,0.667,0,Unexcused Tardiness/absence From Class
13,5,3,2,26,1,4,0.5,2.6,1,Unexcused Tardiness/absence From Class
16,5,7,2,25,1,1,0.68,8.0,0,Unexcused Tardiness/absence From Class
11,5,8,0,27,1,7,0.667,1.375,0,Unexcused Tardiness/absence From Class
20,5,6,1,14,1,1,1.143,10.0,1,Unexcused Tardiness/absence From Class
12,0,6,2,17,1,3,0.353,3.0,1,Unexcused Tardiness/absence From Class
5,2,2,1,8,1,0,0.75,5.0,1,Unexcused Tardiness/absence From Class
6,3,2,0,27,0,14,0.296,0.4,1,Unexcused Tardiness/absence From Class
13,3,1,1,16,1,3,0.438,3.25,1,Unexcused Tardiness/absence From Class
1,5,2,0,23,1,8,0.522,0.111,1,Unexcused Tardiness/absence From Class
19,1,2,2,25,1,1,0.16,9.5,1,Unexcused Tardiness/absence From Class
7,2,5,0,9,1,9,1.0,0.7,1,Unexcused Tardiness/absence From Class
7,4,4,0,10,0,1,1.2,3.5,1,Unexcused Tardiness/absence From Class
16,4,7,2,24,0,12,0.625,1.231,1,Unexcused Tardiness/absence From Class
15,1,1,2,29,0,10,0.103,1.364,1,Unexcused Tardiness/absence From Class
18,2,5,0,28,1,2,0.321,6.0,0,Unexcused Tardiness/absence From Class
13,2,4,2,9,0,14,0.889,0.867,1,Unexcused Tardiness/absence From Class
4,2,4,0,25,0,11,0.32,0.333,1,Unexcused Tardiness/absence From Class
11,2,1,0,11,1,2,0.455,3.667,1,Unexcused Tardiness/absence From Class
2,5,0,2,25,0,4,0.4,0.4,1,Unexcused Tardiness/absence From Class
7,2,4,2,16,0,11,0.5,0.583,1,Unexcused Tardiness/absence From Class
2,2,5,2,6,0,0,1.5,2.0,1,Unexcused Tardiness/absence From Class
13,0,6,1,24,0,9,0.25,1.3,0,Unexcused Tardiness/absence From Class
18,5,2,1,13,0,12,0.923,1.385,1,Unexcused Tardiness/absence From Class
8,1,1,1,18,1,0,0.167,8.0,0,Unexcused Tardiness/absence From Class
17,1,7,1,17,0,9,0.529,1.7,1,Unexcused Tardiness/absence From Class
20,0,8,1,16,1,7,0.5,2.5,0,Unexcused Tardiness/absence From Class
14,4,2,2,19,0,0,0.526,14.0,1,Unexcused Tardiness/absence From Class
15,0,2,0,7,1,2,0.286,5.0,0,Unexcused Tardiness/absence From Class
6,2,1,2,26,0,13,0.192,0.429,1,Unexcused Tardiness/absence From Class
11,5,3,0,26,0,12,0.5,0.846,1,Unexcused Tardiness/absence From Class
8,3,6,0,25,1,10,0.48,0.727,0,Unexcused Tardiness/absence From Class
12,5,0,0,15,0,4,0.667,2.4,1,Unexcused Tardiness/absence From Class
7,1,3,1,20,1,3,0.25,1.75,0,Unexcused Tardiness/absence From Class
7,0,0,1,13,1,13,0.0,0.5,1,Unexcused Tardiness/absence From Class
1,4,3,0,8,1,4,1.375,0.2,1,Unexcused Tardiness/absence From Class
1,5,3,0,9,1,6,1.444,0.143,1,Unexcused Tardiness/absence From Class
13,2,7,2,27,0,10,0.407,1.182,0,Unexcused Tardiness/absence From Class
10,0,2,1,15,1,10,0.133,0.909,1,Unexcused Tardiness/absence From Class
17,3,3,2,10,0,13,0.9,1.214,1,Unexcused Tardiness/absence From Class
14,0,8,1,22,0,4,0.364,2.8,1,Unexcused Tardiness/absence From Class
16,1,4,1,26,1,4,0.231,3.2,1,Unexcused Tardiness/absence From Class
7,0,3,0,17,1,5,0.176,1.167,1,Unexcused Tardiness/absence From Class
6,0,5,2,15,1,3,0.333,1.5,1,Unexcused Tardiness/absence From Class
19,3,8,2,28,0,4,0.5,3.8,1,Unexcused Tardiness/absence From Class
7,4,2,0,16,0,0,0.625,7.0,0,Unexcused Tardiness/absence From Class
11,1,5,1,9,0,13,0.778,0.786,1,Unexcused Tardiness/absence From Class
17,4,8,0,25,1,8,0.64,1.889,1,Unexcused Tardiness/absence From Class
17,1,5,2,30,1,15,0.233,1.062,0,Unexcused Tardiness/absence From Class
3,4,4,0,28,1,1,0.429,1.5,0,Unexcused Tardiness/absence From Class
8,1,2,0,12,0,7,0.333,1.0,1,Unexcused Tardiness/absence From Class
18,5,5,2,8,0,3,1.875,4.5,0,Unexcused Tardiness/absence From Class
20,4,4,2,21,1,1,0.571,10.0,0,Unexcused Tardiness/absence From Class
4,3,4,1,19,1,4,0.526,0.8,1,Unexcused Tardiness/absence From Class
3,2,1,0,23,1,5,0.217,0.5,1,Unexcused Tardiness/absence From Class
10,2,0,0,25,1,2,0.16,3.333,1,Unexcused Tardiness/absence From Class
1,2,4,0,18,0,1,0.444,0.5,0,Unexcused Tardiness/absence From Class
16,0,3,2,8,1,13,0.375,1.143,1,Unexcused Tardiness/absence From Class
3,5,3,2,3,0,3,4.333,0.75,1,Unexcused Tardiness/absence From Class
1,1,2,2,4,1,12,1.0,0.077,1,Unexcused Tardiness/absence From Class
13,3,1,1,23,0,10,0.304,1.182,0,Unexcused Tardiness/absence From Class
15,5,1,2,11,0,10,1.0,1.364,1,Unexcused Tardiness/absence From Class
16,0,5,1,11,0,11,0.455,1.333,1,Unexcused Tardiness/absence From Class
5,1,2,1,10,0,3,0.4,1.25,0,Unexcused Tardiness/absence From Class
11,5,4,1,4,0,14,3.5,0.733,1,Unexcused Tardiness/absence From Class
12,0,3,0,15,1,8,0.2,1.333,0,Unexcused Tardiness/absence From Class
3,3,8,0,23,0,7,0.609,0.375,1,Unexcused Tardiness/absence From Class
13,4,2,1,27,0,13,0.37,0.929,0,Unexcused Tardiness/absence From Class
5,1,0,2,26,1,7,0.077,0.625,0,Unexcused Tardiness/absence From Class
10,4,0,0,8,0,5,1.0,1.667,0,Unexcused Tardiness/absence From Class
10,5,2,2,13,1,2,0.923,3.333,0,Unexcused Tardiness/absence From Class
9,1,0,0,17,0,12,0.118,0.692,1,Unexcused Tardiness/absence From Class
17,0,3,1,12,1,3,0.25,4.25,0,Unexcused Tardiness/absence From Class
13,4,6,2,6,1,9,2.333,1.3,1,Unexcused Tardiness/absence From Class
15,2,4,1,5,0,5,1.6,2.5,0,Unexcused Tardiness/absence From Class
11,2,8,1,17,0,10,0.706,1.0,1,Unexcused Tardiness/absence From Class
2,0,4,2,23,1,10,0.174,0.182,1,Unexcused Tardiness/absence From Class
14,3,1,2,7,1,6,1.0,2.0,1,Unexcused Tardiness/absence From Class
8,3,1,0,30,0,14,0.233,0.533,1,Unexcused Tardiness/absence From Class
3,2,3,0,20,0,6,0.35,0.429,0,Unexcused Tardiness/absence From Class
15,3,0,1,20,0,0,0.3,15.0,1,Unexcused Tardiness/absence From Class
18,0,5,2,10,1,0,0.5,18.0,1,Unexcused Tardiness/absence From Class
20,5,4,1,27,0,0,0.519,20.0,1,Unexcused Tardiness/absence From Class
19,4,4,0,7,0,10,1.714,1.727,0,Unexcused Tardiness/absence From Class
6,2,4,0,17,0,9,0.471,0.6,1,Unexcused Tardiness/absence From Class
10,2,6,0,18,1,15,0.556,0.625,1,Unexcused Tardiness/absence From Class
19,0,5,2,11,0,6,0.455,2.714,1,Unexcused Tardiness/absence From Class
18,0,7,2,29,0,6,0.241,2.571,1,Unexcused Tardiness/absence From Class
9,2,0,1,28,0,13,0.143,0.643,0,Unexcused Tardiness/absence From Class
10,2,1,0,20,1,2,0.25,3.333,1,Unexcused Tardiness/absence From Class
9,0,3,0,22,0,14,0.136,0.6,1,Unexcused Tardiness/absence From Class
7,3,0,0,7,1,15,0.857,0.438,1,Unexcused Tardiness/absence From Class
16,5,6,1,13,0,11,1.231,1.333,1,Unexcused Tardiness/absence From Class
14,1,3,1,18,1,10,0.278,1.273,1,Unexcused Tardiness/absence From Class
1,4,3,2,30,0,6,0.367,0.143,1,Unexcused Tardiness/absence From Class
1,1,4,0,6,0,3,1.0,0.25,1,Unexcused Tardiness/absence From Class
9,1,5,1,16,0,7,0.438,1.125,1,Unexcused Tardiness/absence From Class
14,0,0,2,9,0,2,0.0,4.667,1,Unexcused Tardiness/absence From Class
17,0,5,0,29,0,2,0.172,5.667,1,Unexcused Tardiness/absence From Class
18,1,6,1,30,0,0,0.267,18.0,1,Unexcused Tardiness/absence From Class
5,5,0,2,8,1,6,1.25,0.714,1,Unexcused Tardiness/absence From Class
3,5,7,2,30,1,8,0.567,0.333,1,Unexcused Tardiness/absence From Class
5,5,0,1,19,1,2,0.526,1.667,0,Unexcused Tardiness/absence From Class
9,4,8,1,7,0,8,2.286,1.0,1,Unexcused Tardiness/absence From Class
9,1,5,2,29,0,13,0.241,0.643,0,Unexcused Tardiness/absence From Class
19,3,3,1,5,1,7,1.8,2.375,1,Unexcused Tardiness/absence From Class
5,2,1,1,30,0,12,0.167,0.385,1,Unexcused Tardiness/absence From Class
3,4,1,1,7,0,5,1.286,0.5,0,Unexcused Tardiness/absence From Class
1,1,8,2,6,1,9,1.667,0.1,1,Unexcused Tardiness/absence From Class
7,2,6,1,15,0,15,0.667,0.438,1,Unexcused Tardiness/absence From Class
1,3,8,1,19,0,6,0.737,0.143,0,Unexcused Tardiness/absence From Class
5,0,7,1,21,1,0,0.333,5.0,1,Unexcused Tardiness/absence From Class
4,1,2,1,10,1,13,0.4,0.286,1,Unexcused Tardiness/absence From Class
8,1,5,0,24,0,5,0.292,1.333,1,Unexcused Tardiness/absence From Class
10,1,7,0,28,1,15,0.321,0.625,1,Unexcused Tardiness/absence From Class
16,1,5,2,9,1,8,0.778,1.778,1,Unexcused Tardiness/absence From Class
8,2,0,1,8,1,12,0.5,0.615,1,Unexcused Tardiness/absence From Class
8,5,7,2,8,0,15,2.125,0.5,1,Unexcused Tardiness/absence From Class
19,4,4,2,19,0,3,0.632,4.75,1,Unexcused Tardiness/absence From Class
18,5,6,2,18,1,15,0.889,1.125,1,Unexcused Tardiness/absence From Class
20,3,8,0,7,1,8,2.0,2.222,1,Unexcused Tardiness/absence From Class
19,3,2,1,30,0,13,0.267,1.357,0,Unexcused Tardiness/absence From Class
4,1,8,2,23,1,1,0.435,2.0,0,Unexcused Tardiness/absence From Class
6,5,5,0,19,1,0,0.789,6.0,0,Unexcused Tardiness/absence From Class
6,4,0,1,30,0,10,0.267,0.545,0,Unexcused Tardiness/absence From Class
20,4,1,2,9,0,3,1.0,5.0,1,Unexcused Tardiness/absence From Class
8,3,4,1,17,0,10,0.588,0.727,0,Unexcused Tardiness/absence From Class
17,2,3,2,26,0,11,0.269,1.417,0,Unexcused Tardiness/absence From Class
14,1,4,2,22,1,8,0.273,1.556,1,Unexcused Tardiness/absence From Class
18,2,4,2,26,1,5,0.308,3.0,0,Unexcused Tardiness/absence From Class
7,5,5,0,27,1,0,0.556,7.0,0,Unexcused Tardiness/absence From Class
7,1,5,1,15,0,13,0.467,0.5,1,Unexcused Tardiness/absence From Class
17,1,5,0,14,0,2,0.5,5.667,1,Unexcused Tardiness/absence From Class
3,3,1,2,12,0,1,0.583,1.5,1,Unexcused Tardiness/absence From Class
8,3,0,0,8,1,6,0.75,1.143,0,Unexcused Tardiness/absence From Class
8,0,3,0,27,0,2,0.111,2.667,0,Unexcused Tardiness/absence From Class
16,4,6,0,8,0,3,1.75,4.0,0,Unexcused Tardiness/absence From Class
19,3,2,2,10,1,8,0.8,2.111,0,Unexcused Tardiness/absence From Class
17,1,0,2,29,1,13,0.069,1.214,1,Unexcused Tardiness/absence From Class
16,2,8,1,10,1,6,1.2,2.286,1,Unexcused Tardiness/absence From Class
4,2,4,1,15,0,5,0.533,0.667,1,Unexcused Tardiness/absence From Class
12,3,3,1,8,0,8,1.125,1.333,0,Unexcused Tardiness/absence From Class
13,4,3,0,20,0,12,0.55,1.0,0,Unexcused Tardiness/absence From Class
10,0,8,1,22,0,15,0.364,0.625,1,Unexcused Tardiness/absence From Class
17,2,6,1,5,1,0,2.0,17.0,1,Unexcused Tardiness/absence From Class
13,0,2,1,4,1,7,0.5,1.625,1,Unexcused Tardiness/absence From Class
20,1,3,0,22,0,8,0.227,2.222,1,Unexcused Tardiness/absence From Class
18,0,7,0,13,1,7,0.538,2.25,1,Unexcused Tardiness/absence From Class
7,3,1,1,17,1,11,0.412,0.583,1,Unexcused Tardiness/absence From Class
10,0,5,0,19,0,0,0.263,10.0,0,Unexcused Tardiness/absence From Class
20,3,7,2,18,1,9,0.722,2.0,1,Unexcused Tardiness/absence From Class
10,2,3,0,4,0,12,1.75,0.769,1,Unexcused Tardiness/absence From Class
9,5,0,1,27,1,6,0.37,1.286,1,Unexcused Tardiness/absence From Class
11,4,5,1,14,1,10,0.929,1.0,1,Unexcused Tardiness/absence From Class
10,1,6,1,30,1,6,0.267,1.429,0,Unexcused Tardiness/absence From Class
3,2,8,2,22,1,7,0.545,0.375,1,Unexcused Tardiness/absence From Class
4,2,8,0,9,1,14,1.333,0.267,1,Unexcused Tardiness/absence From Class
16,5,6,2,6,1,0,2.667,16.0,0,Unexcused Tardiness/absence From Class
8,1,0,1,3,0,5,0.667,1.333,1,Unexcused Tardiness/absence From Class
10,3,3,2,27,1,2,0.333,3.333,1,Unexcused Tardiness/absence From Class
14,4,4,1,28,0,15,0.429,0.875,1,Unexcused Tardiness/absence From Class
2,4,0,1,25,1,10,0.32,0.182,1,Unexcused Tardiness/absence From Class
3,0,8,0,19,1,4,0.421,0.6,0,Unexcused Tardiness/absence From Class
12,5,7,0,18,0,11,0.944,1.0,1,Unexcused Tardiness/absence From Class
10,4,1,0,17,0,1,0.529,5.0,0,Unexcused Tardiness/absence From Class
3,2,0,2,8,1,8,0.5,0.333,0,Unexcused Tardiness/absence From Class
3,4,7,0,20,0,3,0.75,0.75,1,Unexcused Tardiness/absence From Class
13,4,0,2,19,0,11,0.421,1.083,1,Unexcused Tardiness/absence From Class
10,0,3,2,30,1,1,0.1,5.0,1,Unexcused Tardiness/absence From Class
15,3,1,1,22,0,14,0.318,1.0,1,Unexcused Tardiness/absence From Class
13,2,4,1,7,1,12,1.143,1.0,1,Unexcused Tardiness/absence From Class
18,5,1,2,23,1,7,0.478,2.25,1,Unexcused Tardiness/absence From Class
13,3,1,2,24,0,8,0.292,1.444,0,Unexcused Tardiness/absence From Class
14,1,8,2,12,0,11,0.833,1.167,1,Unexcused Tardiness/absence From Class
10,0,1,2,14,1,0,0.071,10.0,0,Unexcused Tardiness/absence From Class
20,2,0,0,9,1,9,0.444,2.0,0,Unexcused Tardiness/absence From Class
13,1,0,1,20,0,9,0.1,1.3,0,Unexcused Tardiness/absence From Class
14,5,3,2,3,0,9,4.333,1.4,0,Unexcused Tardiness/absence From Class
16,1,7,1,7,0,3,1.286,4.0,1,Unexcused Tardiness/absence From Class
2,4,6,1,26,1,14,0.538,0.133,1,Unexcused Tardiness/absence From Class
20,0,5,1,21,1,9,0.238,2.0,1,Unexcused Tardiness/absence From Class
3,0,5,0,22,0,9,0.227,0.3,0,Unexcused Tardiness/absence From Class
5,0,0,2,30,1,15,0.0,0.312,1,Unexcused Tardiness/absence From Class
15,3,4,1,30,1,2,0.333,5.0,1,Unexcused Tardiness/absence From Class
19,4,0,0,17,1,6,0.471,2.714,1,Unexcused Tardiness/absence From Class
19,0,5,0,10,0,4,0.5,3.8,1,Unexcused Tardiness/absence From Class
16,1,8,1,22,1,11,0.455,1.333,1,Unexcused Tardiness/absence From Class
17,3,3,0,10,0,0,0.9,17.0,1,Unexcused Tardiness/absence From Class
16,5,5,1,5,0,13,3.0,1.143,1,Unexcused Tardiness/absence From Class
1,2,7,1,21,1,5,0.524,0.167,1,Unexcused Tardiness/absence From Class
4,1,6,1,25,1,15,0.32,0.25,1,Unexcused Tardiness/absence From Class
20,0,0,0,21,0,7,0.0,2.5,1,Unexcused Tardiness/absence From Class
11,2,6,2,9,0,4,1.111,2.2,1,Unexcused Tardiness/absence From Class
2,2,2,2,28,0,4,0.214,0.4,1,Unexcused Tardiness/absence From Class
13,1,8,0,5,1,1,2.0,6.5,0,Unexcused Tardiness/absence From Class
19,5,3,0,30,1,14,0.433,1.267,0,Unexcused Tardiness/absence From Class
16,2,8,2,14,1,8,0.857,1.778,1,Unexcused Tardiness/absence From Class
16,1,8,2,4,0,5,2.5,2.667,0,Unexcused Tardiness/absence From Class
6,1,8,2,20,0,9,0.5,0.6,1,Unexcused Tardiness/absence From Class
6,0,1,0,21,0,2,0.048,2.0,0,Unexcused Tardiness/absence From Class
14,5,7,0,19,0,5,0.895,2.333,1,Unexcused Tardiness/absence From Class
7,5,2,0,3,0,1,4.0,3.5,0,Unexcused Tardiness/absence From Class
6,0,5,1,28,0,1,0.179,3.0,1,Unexcused Tardiness/absence From Class
2,3,5,1,29,1,9,0.379,0.2,1,Unexcused Tardiness/absence From Class
4,5,4,1,11,0,4,1.273,0.8,1,Unexcused Tardiness/absence From Class
15,1,6,2,30,1,9,0.267,1.5,1,Unexcused Tardiness/absence From Class
6,5,7,2,12,0,10,1.417,0.545,0,Unexcused Tardiness/absence From Class
2,0,8,0,15,1,5,0.533,0.333,1,Unexcused Tardiness/absence From Class
2,0,1,2,26,1,15,0.038,0.125,1,Unexcused Tardiness/absence From Class
10,2,8,2,28,1,2,0.429,3.333,0,Unexcused Tardiness/absence From Class
14,3,8,1,6,0,6,2.333,2.0,1,Unexcused Tardiness/absence From Class
4,3,5,0,14,1,5,0.786,0.667,0,Unexcused Tardiness/absence From Class
14,1,1,2,17,0,13,0.176,1.0,1,Unexcused Tardiness/absence From Class
9,4,4,0,6,1,11,2.0,0.75,0,Unexcused Tardiness/absence From Class
15,2,1,0,4,0,14,1.25,1.0,1,Unexcused Tardiness/absence From Class
2,3,3,1,19,1,1,0.474,1.0,0,Unexcused Tardiness/absence From Class
20,3,4,1,22,1,8,0.455,2.222,1,Unexcused Tardiness/absence From Class
17,2,5,2,6,1,10,1.5,1.545,0,Unexcused Tardiness/absence From Class
8,5,1,0,25,1,3,0.44,2.0,1,Unexcused Tardiness/absence From Class
10,1,8,0,14,1,2,0.714,3.333,0,Unexcused Tardiness/absence From Class
13,3,0,0,23,1,6,0.261,1.857,1,Unexcused Tardiness/absence From Class
12,2,2,0,28,0,7,0.214,1.5,1,Unexcused Tardiness/absence From Class
2,1,2,2,10,1,2,0.4,0.667,0,Unexcused Tardiness/absence From Class
12,5,8,0,7,1,15,2.571,0.75,0,Unexcused Tardiness/absence From Class
11,5,4,2,18,1,11,0.778,0.917,0,Unexcused Tardiness/absence From Class
14,3,8,0,7,1,9,2.0,1.4,1,Unexcused Tardiness/absence From Class
7,5,8,1,23,1,8,0.783,0.778,0,Unexcused Tardiness/absence From Class
17,5,3,2,24,0,11,0.542,1.417,1,Unexcused Tardiness/absence From Class
13,5,7,0,16,0,11,1.062,1.083,1,Unexcused Tardiness/absence From Class
7,2,2,2,26,0,6,0.231,1.0,0,Unexcused Tardiness/absence From Class
2,3,3,0,11,0,12,0.818,0.154,1,Unexcused Tardiness/absence From Class
6,3,8,2,27,0,4,0.519,1.2,1,Unexcused Tardiness/absence From Class
13,2,7,2,9,1,6,1.222,1.857,1,Unexcused Tardiness/absence From Class
15,5,8,0,8,1,14,2.25,1.0,1,Unexcused Tardiness/absence From Class
9,3,7,2,3,1,12,4.333,0.692,1,Unexcused Tardiness/absence From Class
17,1,0,2,14,0,15,0.143,1.062,0,Unexcused Tardiness/absence From Class
5,1,3,0,18,0,12,0.278,0.385,1,Unexcused Tardiness/absence From Class
7,1,1,2,30,0,14,0.1,0.467,1,Unexcused Tardiness/absence From Class
12,4,0,0,14,1,6,0.571,1.714,0,Unexcused Tardiness/absence From Class
3,0,4,2,6,0,3,0.667,0.75,1,Unexcused Tardiness/absence From Class
12,0,8,0,18,0,2,0.444,4.0,1,Unexcused Tardiness/absence From Class
5,5,7,0,11,1,8,1.545,0.556,1,Unexcused Tardiness/absence From Class
19,3,2,1,17,0,11,0.471,1.583,1,Unexcused Tardiness/absence From Class
16,0,0,1,7,1,0,0.0,16.0,0,Unexcused Tardiness/absence From Class
9,1,5,1,5,1,3,1.4,2.25,0,Unexcused Tardiness/absence From Class
2,3,2,0,30,0,1,0.267,1.0,1,Unexcused Tardiness/absence From Class
