frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,no_violation_count,avg_severity,behavior_ratio,next_repeated_violation
15,1,4,1,28,1,12,0.214,1.154,Unexcused Tardiness/absence From Class
14,2,5,1,30,1,2,0.3,4.667,Unexcused Tardiness/absence From Class
3,0,2,0,26,1,11,0.077,0.25,Unexcused Tardiness/absence From Class
3,3,2,0,10,1,11,0.8,0.25,Unexcused Tardiness/absence From Class
17,5,0,1,4,1,8,2.5,1.889,Unexcused Tardiness/absence From Class
15,1,0,0,13,0,3,0.154,3.75,Unexcused Tardiness/absence From Class
18,1,1,1,7,1,12,0.429,1.385,Unexcused Tardiness/absence From Class
8,3,6,1,15,1,9,0.8,0.8,Unexcused Tardiness/absence From Class
2,1,0,2,23,1,6,0.087,0.286,Unexcused Tardiness/absence From Class
10,3,5,0,4,1,3,2.75,2.5,Unexcused Tardiness/absence From Class
19,0,2,1,15,1,10,0.133,1.727,Unexcused Tardiness/absence From Class
2,2,0,2,6,0,7,0.667,0.25,Unexcused Tardiness/absence From Class
12,5,3,2,30,1,11,0.433,1.0,Unexcused Tardiness/absence From Class
16,4,4,1,25,0,5,0.48,2.667,Unexcused Tardiness/absence From Class
17,1,0,2,15,0,3,0.133,4.25,Unexcused Tardiness/absence From Class
1,1,8,0,10,0,7,1.0,0.125,Unexcused Tardiness/absence From Class
11,0,8,1,24,1,6,0.333,1.571,Unexcused Tardiness/absence From Class
17,3,8,0,22,0,0,0.636,17.0,Unexcused Tardiness/absence From Class
17,0,8,2,15,1,10,0.533,1.545,Unexcused Tardiness/absence From Class
6,4,5,2,6,1,0,2.167,6.0,Unexcused Tardiness/absence From Class
11,2,2,1,23,0,5,0.261,1.833,Unexcused Tardiness/absence From Class
20,2,0,1,10,1,1,0.4,10.0,Unexcused Tardiness/absence From Class
11,5,8,0,4,0,11,4.5,0.917,Unexcused Tardiness/absence From Class
13,5,4,0,12,1,3,1.167,3.25,Unexcused Tardiness/absence From Class
20,3,6,2,11,1,4,1.091,4.0,Unexcused Tardiness/absence From Class
11,1,3,2,29,0,13,0.172,0.786,Unexcused Tardiness/absence From Class
1,3,8,0,18,1,8,0.778,0.111,Unexcused Tardiness/absence From Class
5,4,6,1,21,0,13,0.667,0.357,Unexcused Tardiness/absence From Class
6,5,0,0,5,0,0,2.0,6.0,Unexcused Tardiness/absence From Class
16,5,2,1,19,0,14,0.632,1.067,Unexcused Tardiness/absence From Class
16,0,3,1,7,1,15,0.429,1.0,Unexcused Tardiness/absence From Class
4,0,5,2,8,0,15,0.625,0.25,Unexcused Tardiness/absence From Class
20,5,7,2,6,0,15,2.833,1.25,Unexcused Tardiness/absence From Class
5,1,4,1,5,1,9,1.2,0.5,Unexcused Tardiness/absence From Class
9,4,3,2,14,1,12,0.786,0.692,Unexcused Tardiness/absence From Class
5,2,6,2,23,1,12,0.435,0.385,Unexcused Tardiness/absence From Class
10,1,2,2,11,0,12,0.364,0.769,Unexcused Tardiness/absence From Class
1,1,5,0,7,1,7,1.0,0.125,Unexcused Tardiness/absence From Class
17,1,7,0,23,1,4,0.391,3.4,Unexcused Tardiness/absence From Class
13,2,4,2,29,1,9,0.276,1.3,Unexcused Tardiness/absence From Class
12,3,4,1,20,0,8,0.5,1.333,Unexcused Tardiness/absence From Class
15,0,3,0,21,1,5,0.143,2.5,Unexcused Tardiness/absence From Class
8,0,1,2,11,1,14,0.091,0.533,Unexcused Tardiness/absence From Class
11,0,3,2,4,0,1,0.75,5.5,Unexcused Tardiness/absence From Class
16,4,0,1,10,0,14,0.8,1.067,Unexcused Tardiness/absence From Class
5,5,6,1,24,0,0,0.667,5.0,Unexcused Tardiness/absence From Class
19,2,6,2,17,1,9,0.588,1.9,Unexcused Tardiness/absence From Class
13,0,5,0,23,0,14,0.217,0.867,Unexcused Tardiness/absence From Class
14,1,0,2,15,0,8,0.133,1.556,Unexcused Tardiness/absence From Class
5,4,3,1,30,1,10,0.367,0.455,Unexcused Tardiness/absence From Class
12,0,5,1,30,0,1,0.167,6.0,Unexcused Tardiness/absence From Class
9,1,0,2,9,1,0,0.222,9.0,Unexcused Tardiness/absence From Class
4,2,3,0,24,1,14,0.292,0.267,Unexcused Tardiness/absence From Class
17,2,6,0,23,1,13,0.435,1.214,Unexcused Tardiness/absence From Class
4,1,3,2,21,1,4,0.238,0.8,Unexcused Tardiness/absence From Class
5,3,0,0,4,1,13,1.5,0.357,Unexcused Tardiness/absence From Class
6,2,0,2,20,1,2,0.2,2.0,Unexcused Tardiness/absence From Class
10,2,0,2,11,0,7,0.364,1.25,Unexcused Tardiness/absence From Class
20,2,5,2,6,1,1,1.5,10.0,Unexcused Tardiness/absence From Class
12,4,8,2,8,0,14,2.0,0.8,Unexcused Tardiness/absence From Class
15,1,1,0,16,0,2,0.188,5.0,Unexcused Tardiness/absence From Class
7,4,3,0,28,0,12,0.393,0.538,Unexcused Tardiness/absence From Class
14,2,4,2,20,0,1,0.4,7.0,Unexcused Tardiness/absence From Class
19,4,6,0,11,1,14,1.273,1.267,Unexcused Tardiness/absence From Class
11,1,1,1,4,1,13,0.75,0.786,Unexcused Tardiness/absence From Class
1,0,7,2,22,1,9,0.318,0.1,Unexcused Tardiness/absence From Class
7,1,7,1,27,1,14,0.333,0.467,Unexcused Tardiness/absence From Class
1,0,2,1,13,0,15,0.154,0.062,Unexcused Tardiness/absence From Class
20,1,6,0,13,0,10,0.615,1.818,Unexcused Tardiness/absence From Class
5,1,0,1,24,0,0,0.083,5.0,Unexcused Tardiness/absence From Class
1,3,2,2,18,0,6,0.444,0.143,Unexcused Tardiness/absence From Class
1,4,3,0,3,0,10,3.667,0.091,Unexcused Tardiness/absence From Class
11,5,1,0,12,1,1,0.917,5.5,Unexcused Tardiness/absence From Class
15,2,5,2,8,1,9,1.125,1.5,Unexcused Tardiness/absence From Class
7,3,6,1,3,0,9,4.0,0.7,Unexcused Tardiness/absence From Class
9,3,0,2,14,1,12,0.429,0.692,Unexcused Tardiness/absence From Class
12,2,1,2,19,1,8,0.263,1.333,Unexcused Tardiness/absence From Class
11,3,0,1,7,0,10,0.857,1.0,Unexcused Tardiness/absence From Class
11,2,0,0,8,0,2,0.5,3.667,Unexcused Tardiness/absence From Class
2,3,4,0,3,1,1,3.333,1.0,Unexcused Tardiness/absence From Class
14,3,0,2,7,0,3,0.857,3.5,Unexcused Tardiness/absence From Class
9,0,0,2,24,1,11,0.0,0.75,Unexcused Tardiness/absence From Class
3,2,0,2,26,0,3,0.154,0.75,Unexcused Tardiness/absence From Class
18,5,3,0,7,0,12,1.857,1.385,Unexcused Tardiness/absence From Class
8,4,8,1,18,0,8,0.889,0.889,Unexcused Tardiness/absence From Class
7,1,1,0,20,1,1,0.15,3.5,Unexcused Tardiness/absence From Class
20,4,2,1,10,0,2,1.0,6.667,Unexcused Tardiness/absence From Class
19,1,3,0,25,1,6,0.2,2.714,Unexcused Tardiness/absence From Class
1,3,5,1,25,0,12,0.44,0.077,Unexcused Tardiness/absence From Class
15,5,4,2,12,0,7,1.167,1.875,Unexcused Tardiness/absence From Class
3,0,7,2,4,0,14,1.75,0.2,Unexcused Tardiness/absence From Class
14,4,3,1,7,0,9,1.571,1.4,Unexcused Tardiness/absence From Class
4,1,1,2,9,0,6,0.333,0.571,Unexcused Tardiness/absence From Class
2,1,8,2,12,1,2,0.833,0.667,Unexcused Tardiness/absence From Class
9,0,2,2,30,0,5,0.067,1.5,Unexcused Tardiness/absence From Class
8,2,0,1,25,0,15,0.16,0.5,Unexcused Tardiness/absence From Class
2,1,2,0,24,1,5,0.167,0.333,Unexcused Tardiness/absence From Class
20,5,8,1,14,0,13,1.286,1.429,Unexcused Tardiness/absence From Class
13,4,5,0,17,0,15,0.765,0.812,Unexcused Tardiness/absence From Class
16,1,7,0,24,1,15,0.375,1.0,Unexcused Tardiness/absence From Class
5,0,4,2,18,0,5,0.222,0.833,Unexcused Tardiness/absence From Class
6,2,3,1,27,1,8,0.259,0.667,Unexcused Tardiness/absence From Class
14,3,2,2,3,1,8,2.667,1.556,Unexcused Tardiness/absence From Class
19,4,0,1,4,1,10,2.0,1.727,Unexcused Tardiness/absence From Class
12,2,7,0,9,0,2,1.222,4.0,Unexcused Tardiness/absence From Class
13,3,1,1,20,1,9,0.35,1.3,Unexcused Tardiness/absence From Class
2,2,6,0,17,1,11,0.588,0.167,Unexcused Tardiness/absence From Class
14,3,0,0,10,0,11,0.6,1.167,Unexcused Tardiness/absence From Class
4,4,5,2,6,1,8,2.167,0.444,Unexcused Tardiness/absence From Class
4,4,2,2,17,1,11,0.588,0.333,Unexcused Tardiness/absence From Class
9,1,2,2,9,0,0,0.444,9.0,Unexcused Tardiness/absence From Class
6,3,4,0,10,1,12,1.0,0.462,Unexcused Tardiness/absence From Class
12,1,6,0,5,1,14,1.6,0.8,Unexcused Tardiness/absence From Class
4,0,2,2,4,0,2,0.5,1.333,Unexcused Tardiness/absence From Class
10,5,1,2,6,1,6,1.833,1.429,Unexcused Tardiness/absence From Class
10,4,2,1,18,0,2,0.556,3.333,Unexcused Tardiness/absence From Class
2,5,7,0,15,1,14,1.133,0.133,Unexcused Tardiness/absence From Class
12,4,4,2,22,0,15,0.545,0.75,Unexcused Tardiness/absence From Class
5,4,8,1,13,1,0,1.231,5.0,Unexcused Tardiness/absence From Class
18,0,3,1,10,0,14,0.3,1.2,Unexcused Tardiness/absence From Class
17,2,6,2,22,0,0,0.455,17.0,Unexcused Tardiness/absence From Class
11,1,3,1,19,1,6,0.263,1.571,Unexcused Tardiness/absence From Class
11,4,1,1,17,1,3,0.529,2.75,Unexcused Tardiness/absence From Class
16,3,5,0,7,0,9,1.571,1.6,Unexcused Tardiness/absence From Class
18,4,6,1,25,0,9,0.56,1.8,Unexcused Tardiness/absence From Class
8,2,2,0,7,1,11,0.857,0.667,Unexcused Tardiness/absence From Class
18,1,0,0,6,0,2,0.333,6.0,Unexcused Tardiness/absence From Class
18,3,6,0,20,0,8,0.6,2.0,Unexcused Tardiness/absence From Class
6,4,1,1,15,1,12,0.6,0.462,Unexcused Tardiness/absence From Class
11,5,4,0,28,0,3,0.5,2.75,Unexcused Tardiness/absence From Class
5,5,1,0,8,1,0,1.375,5.0,Unexcused Tardiness/absence From Class
14,3,5,0,9,0,12,1.222,1.077,Unexcused Tardiness/absence From Class
8,4,4,0,16,0,10,0.75,0.727,Unexcused Tardiness/absence From Class
17,5,6,0,18,0,15,0.889,1.062,Unexcused Tardiness/absence From Class
20,3,1,1,14,0,0,0.5,20.0,Unexcused Tardiness/absence From Class
10,1,0,2,8,1,6,0.25,1.429,Unexcused Tardiness/absence From Class
6,3,8,2,29,0,1,0.483,3.0,Unexcused Tardiness/absence From Class
14,1,2,2,13,0,4,0.308,2.8,Unexcused Tardiness/absence From Class
6,4,0,2,10,1,8,0.8,0.667,Unexcused Tardiness/absence From Class
5,0,2,0,17,0,9,0.118,0.5,Unexcused Tardiness/absence From Class
18,1,7,0,24,0,0,0.375,18.0,Unexcused Tardiness/absence From Class
18,5,8,2,28,0,0,0.643,18.0,Unexcused Tardiness/absence From Class
2,1,7,0,30,1,13,0.3,0.143,Unexcused Tardiness/absence From Class
14,0,5,1,17,1,14,0.294,0.933,Unexcused Tardiness/absence From Class
18,0,2,1,11,1,0,0.182,18.0,Unexcused Tardiness/absence From Class
6,1,3,2,17,0,4,0.294,1.2,Unexcused Tardiness/absence From Class
12,4,2,2,9,1,10,1.111,1.091,Unexcused Tardiness/absence From Class
13,4,7,2,30,0,6,0.5,1.857,Unexcused Tardiness/absence From Class
4,4,4,0,12,0,15,1.0,0.25,Unexcused Tardiness/absence From Class
15,5,1,0,26,1,4,0.423,3.0,Unexcused Tardiness/absence From Class
18,0,4,0,19,1,3,0.211,4.5,Unexcused Tardiness/absence From Class
19,5,8,2,8,1,1,2.25,9.5,Unexcused Tardiness/absence From Class
13,1,5,2,28,1,13,0.25,0.929,Unexcused Tardiness/absence From Class
18,2,6,1,12,0,13,0.833,1.286,Unexcused Tardiness/absence From Class
17,2,0,2,18,0,8,0.222,1.889,Unexcused Tardiness/absence From Class
16,5,6,2,26,0,1,0.615,8.0,Unexcused Tardiness/absence From Class
2,2,0,2,12,1,0,0.333,2.0,Unexcused Tardiness/absence From Class
17,4,0,2,10,1,4,0.8,3.4,Unexcused Tardiness/absence From Class
6,5,3,2,5,0,4,2.6,1.2,Unexcused Tardiness/absence From Class
14,0,0,2,13,1,10,0.0,1.273,Unexcused Tardiness/absence From Class
4,0,2,2,11,0,10,0.182,0.364,Unexcused Tardiness/absence From Class
9,2,4,0,3,0,15,2.667,0.562,Unexcused Tardiness/absence From Class
1,5,8,2,13,0,2,1.385,0.333,Unexcused Tardiness/absence From Class
5,2,4,0,28,0,7,0.286,0.625,Unexcused Tardiness/absence From Class
14,2,5,1,19,1,0,0.474,14.0,Unexcused Tardiness/absence From Class
5,1,5,0,17,0,0,0.412,5.0,Unexcused Tardiness/absence From Class
11,1,5,0,26,0,9,0.269,1.1,Unexcused Tardiness/absence From Class
11,5,5,0,25,0,15,0.6,0.688,Unexcused Tardiness/absence From Class
13,5,0,2,8,0,14,1.25,0.867,Unexcused Tardiness/absence From Class
11,0,3,1,26,0,13,0.115,0.786,Unexcused Tardiness/absence From Class
17,1,0,2,16,1,0,0.125,17.0,Unexcused Tardiness/absence From Class
2,4,6,2,18,0,5,0.778,0.333,Unexcused Tardiness/absence From Class
7,5,2,2,5,0,0,2.4,7.0,Unexcused Tardiness/absence From Class
7,5,1,0,9,1,15,1.222,0.438,Unexcused Tardiness/absence From Class
12,4,3,0,10,1,10,1.1,1.091,Unexcused Tardiness/absence From Class
4,3,1,1,26,1,0,0.269,4.0,Unexcused Tardiness/absence From Class
13,3,6,1,19,0,13,0.632,0.929,Unexcused Tardiness/absence From Class
9,5,5,0,19,1,5,0.789,1.5,Unexcused Tardiness/absence From Class
13,3,5,2,7,1,3,1.571,3.25,Unexcused Tardiness/absence From Class
3,1,4,0,10,1,15,0.6,0.188,Unexcused Tardiness/absence From Class
9,5,0,2,16,1,3,0.625,2.25,Unexcused Tardiness/absence From Class
4,4,3,2,20,0,11,0.55,0.333,Unexcused Tardiness/absence From Class
4,0,2,0,17,0,0,0.118,4.0,Unexcused Tardiness/absence From Class
15,5,5,2,12,1,12,1.25,1.154,Unexcused Tardiness/absence From Class
7,4,7,2,20,1,2,0.75,2.333,Unexcused Tardiness/absence From Class
3,3,0,1,7,0,7,0.857,0.375,Unexcused Tardiness/absence From Class
11,2,1,2,11,1,10,0.455,1.0,Unexcused Tardiness/absence From Class
14,5,2,1,8,1,3,1.5,3.5,Unexcused Tardiness/absence From Class
4,5,2,2,27,1,8,0.444,0.444,Unexcused Tardiness/absence From Class
10,0,6,2,28,1,12,0.214,0.769,Unexcused Tardiness/absence From Class
1,1,1,0,6,1,1,0.5,0.5,Unexcused Tardiness/absence From Class
3,2,3,0,7,0,4,1.0,0.6,Unexcused Tardiness/absence From Class
17,1,1,0,23,0,4,0.13,3.4,Unexcused Tardiness/absence From Class
11,4,0,2,19,0,6,0.421,1.571,Unexcused Tardiness/absence From Class
3,1,8,0,13,0,4,0.769,0.6,Unexcused Tardiness/absence From Class
1,0,4,1,26,0,4,0.154,0.2,Unexcused Tardiness/absence From Class
14,2,5,0,27,1,3,0.333,3.5,Unexcused Tardiness/absence From Class
15,3,6,0,6,1,0,2.0,15.0,Unexcused Tardiness/absence From Class
14,5,7,0,30,1,1,0.567,7.0,Unexcused Tardiness/absence From Class
18,1,4,2,13,1,1,0.462,9.0,Unexcused Tardiness/absence From Class
10,3,0,2,14,0,14,0.429,0.667,Unexcused Tardiness/absence From Class
2,2,5,1,24,1,8,0.375,0.222,Unexcused Tardiness/absence From Class
16,2,0,2,29,1,14,0.138,1.067,Unexcused Tardiness/absence From Class
12,3,5,0,22,1,14,0.5,0.8,Unexcused Tardiness/absence From Class
18,1,1,2,21,1,14,0.143,1.2,Unexcused Tardiness/absence From Class
18,4,7,2,7,0,3,2.143,4.5,Unexcused Tardiness/absence From Class
20,0,5,2,14,1,4,0.357,4.0,Unexcused Tardiness/absence From Class
13,2,1,2,4,0,13,1.25,0.929,Unexcused Tardiness/absence From Class
9,2,2,1,14,0,14,0.429,0.6,Unexcused Tardiness/absence From Class
8,1,8,0,14,1,10,0.714,0.727,Unexcused Tardiness/absence From Class
10,5,2,0,4,0,15,3.0,0.625,Unexcused Tardiness/absence From Class
5,2,1,2,13,1,13,0.385,0.357,Unexcused Tardiness/absence From Class
18,5,8,1,21,0,1,0.857,9.0,Unexcused Tardiness/absence From Class
11,4,8,0,12,1,4,1.333,2.2,Unexcused Tardiness/absence From Class
12,2,0,1,27,1,14,0.148,0.8,Unexcused Tardiness/absence From Class
2,4,1,2,28,0,9,0.321,0.2,Unexcused Tardiness/absence From Class
3,3,8,1,21,0,5,0.667,0.5,Unexcused Tardiness/absence From Class
9,5,4,1,8,0,15,1.75,0.562,Unexcused Tardiness/absence From Class
19,0,7,2,21,0,13,0.333,1.357,Unexcused Tardiness/absence From Class
20,5,5,2,17,1,5,0.882,3.333,Unexcused Tardiness/absence From Class
10,1,4,0,22,0,10,0.273,0.909,Unexcused Tardiness/absence From Class
5,2,3,0,8,0,0,0.875,5.0,Unexcused Tardiness/absence From Class
3,0,0,0,24,1,10,0.0,0.273,Unexcused Tardiness/absence From Class
10,2,7,2,3,1,11,3.667,0.833,Unexcused Tardiness/absence From Class
15,1,5,0,6,0,4,1.167,3.0,Unexcused Tardiness/absence From Class
3,4,8,1,13,0,13,1.231,0.214,Unexcused Tardiness/absence From Class
1,2,6,2,25,1,1,0.4,0.5,Unexcused Tardiness/absence From Class
11,2,0,2,23,0,14,0.174,0.733,Unexcused Tardiness/absence From Class
4,4,8,0,16,0,5,1.0,0.667,Unexcused Tardiness/absence From Class
5,2,5,1,7,0,8,1.286,0.556,Unexcused Tardiness/absence From Class
9,3,2,1,23,1,12,0.348,0.692,Unexcused Tardiness/absence From Class
7,4,8,1,24,0,6,0.667,1.0,Unexcused Tardiness/absence From Class
5,2,6,1,11,1,12,0.909,0.385,Unexcused Tardiness/absence From Class
9,3,1,2,22,1,0,0.318,9.0,Unexcused Tardiness/absence From Class
20,1,8,0,10,0,0,1.0,20.0,Unexcused Tardiness/absence From Class
17,1,3,2,6,0,15,0.833,1.062,Unexcused Tardiness/absence From Class
17,1,6,2,10,0,8,0.8,1.889,Unexcused Tardiness/absence From Class
12,2,2,2,5,0,0,1.2,12.0,Unexcused Tardiness/absence From Class
17,1,1,0,30,0,15,0.1,1.062,Unexcused Tardiness/absence From Class
5,4,1,2,15,1,14,0.6,0.333,Unexcused Tardiness/absence From Class
9,1,2,0,18,1,2,0.222,3.0,Unexcused Tardiness/absence From Class
2,0,8,0,6,1,0,1.333,2.0,Unexcused Tardiness/absence From Class
16,2,7,0,16,0,15,0.688,1.0,Unexcused Tardiness/absence From Class
11,0,8,1,11,1,12,0.727,0.846,Unexcused Tardiness/absence From Class
9,3,0,0,14,0,1,0.429,4.5,Unexcused Tardiness/absence From Class
15,3,4,2,26,0,11,0.385,1.25,Unexcused Tardiness/absence From Class
1,3,0,1,4,1,2,1.5,0.333,Unexcused Tardiness/absence From Class
3,0,2,2,5,0,2,0.4,1.0,Unexcused Tardiness/absence From Class
9,0,0,1,11,1,4,0.0,1.8,Unexcused Tardiness/absence From Class
7,4,1,0,23,0,3,0.391,1.75,Unexcused Tardiness/absence From Class
3,5,1,2,27,0,2,0.407,1.0,Unexcused Tardiness/absence From Class
1,0,6,1,5,1,9,1.2,0.1,Unexcused Tardiness/absence From Class
5,4,1,1,28,1,13,0.321,0.357,Unexcused Tardiness/absence From Class
8,2,6,0,14,1,0,0.714,8.0,Unexcused Tardiness/absence From Class
10,3,7,0,27,0,8,0.481,1.111,Unexcused Tardiness/absence From Class
11,5,8,2,27,0,9,0.667,1.1,Unexcused Tardiness/absence From Class
18,1,2,1,29,1,14,0.138,1.2,Unexcused Tardiness/absence From Class
13,2,3,2,26,1,13,0.269,0.929,Unexcused Tardiness/absence From Class
5,0,2,1,21,0,12,0.095,0.385,Unexcused Tardiness/absence From Class
4,2,1,0,7,1,5,0.714,0.667,Unexcused Tardiness/absence From Class
13,3,8,0,26,0,10,0.538,1.182,Unexcused Tardiness/absence From Class
9,2,5,2,27,1,9,0.333,0.9,Unexcused Tardiness/absence From Class
12,2,1,1,29,0,0,0.172,12.0,Unexcused Tardiness/absence From Class
