student_id,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,avg_severity,is_major,no_violation_count,behavior_ratio,most_repeated_violation,will_reoffend_same_violation
S00071,5,5,0,1,9,0.83,1,21,0.222,Cheating in examinations,1
S00072,8,5,3,2,14,0.61,1,9,0.013,Vandalism,1
S00073,6,5,1,0,9,0.83,1,23,0.171,Membership in fraternities,0
S00074,1,1,0,1,3,0.73,1,23,0.331,Extortion,1
S00075,5,2,3,2,10,0.41,0,124,0.613,Wearing inappropriate/incomplete uniform,1
S00076,6,2,4,0,8,0.5,0,192,0.491,Wearing inappropriate/incomplete uniform,1
S00077,6,3,3,2,11,1.0,1,23,0.014,Vandalism,0
S00078,9,6,3,1,14,0.73,1,7,0.218,Extortion,1
S00079,5,2,3,1,7,0.63,1,38,0.044,Bullying,1
S00080,3,3,0,0,4,0.62,1,1,0.23,Membership in fraternities,1
S00081,3,2,1,1,5,0.26,0,28,0.669,Littering the campus,0
S00082,4,0,4,0,8,0.38,0,36,0.678,Unexcused tardiness/absence from class,0
S00083,1,1,0,2,5,0.1,0,164,0.792,Wearing inappropriate/incomplete uniform,0
S00084,3,2,1,2,8,0.61,1,35,0.184,Vandalism,1
S00085,8,6,2,0,11,0.88,1,20,0.306,Engaging in immoral conduct,1
S00086,4,1,3,2,8,0.4,0,149,0.627,Littering the campus,0
S00087,5,4,1,1,10,0.72,1,21,0.047,Extortion,0
S00088,3,1,2,0,7,0.87,1,8,0.269,Forgery,1
S00089,7,5,2,1,12,0.94,1,2,0.279,Membership in fraternities,1
S00090,2,0,2,1,8,0.47,0,104,0.74,Unexcused tardiness/absence from class,0
S00091,5,2,3,1,10,0.31,0,172,0.58,Littering the campus,0
S00092,4,4,0,0,5,0.96,1,27,0.315,Gross disrespect to authority,1
S00093,7,6,1,0,10,0.91,1,16,0.278,Extortion,0
S00094,9,6,3,0,11,0.63,1,21,0.107,Forgery,1
S00095,2,2,0,0,4,0.97,1,24,0.163,Gross disrespect to authority,1
S00096,7,5,2,0,9,0.86,1,39,0.062,Stealing property,1
S00097,4,3,1,2,11,0.94,1,18,0.22,Stealing property,1
S00098,6,3,3,2,11,0.83,1,37,0.007,Bullying,1
S00099,1,0,1,1,6,0.47,0,83,0.545,Use of foul language,0
S00100,4,3,1,1,8,0.64,1,7,0.207,Extortion,1
S00101,1,1,0,0,4,0.12,0,153,0.605,Use of foul language,1
S00102,2,1,1,2,7,0.12,0,125,0.691,Use of foul language,0
S00103,6,4,2,2,13,0.9,1,27,0.336,Engaging in immoral conduct,0
S00104,5,3,2,3,11,0.66,1,13,0.152,Extortion,1
S00105,2,2,0,0,5,0.38,0,132,0.708,Wearing inappropriate/incomplete uniform,0
S00106,4,2,2,1,8,0.8,1,20,0.167,Engaging in gambling,1
S00107,3,2,1,2,10,0.26,0,168,0.447,Use of foul language,1
S00108,4,1,3,0,5,0.93,1,19,0.072,Membership in fraternities,1
S00109,3,3,0,3,8,0.64,1,0,0.198,Forgery,1
S00110,9,6,3,1,11,0.97,1,13,0.333,Engaging in gambling,1
S00111,7,4,3,2,11,0.97,1,6,0.189,Cheating in examinations,0
S00112,4,1,3,0,9,0.29,0,107,0.578,Littering the campus,0
S00113,6,4,2,1,11,0.82,1,15,0.138,Smoking/Vaping,0
S00114,5,3,2,0,8,0.74,1,31,0.11,Engaging in gambling,1
S00115,7,5,2,2,10,0.67,1,4,0.319,Bullying,1
S00116,4,3,1,0,7,0.79,1,10,0.298,Extortion,0
S00117,3,1,2,2,8,0.42,0,63,0.443,Littering the campus,0
S00118,3,1,2,1,8,0.44,0,28,0.657,Public display of affection,0
S00119,8,5,3,0,12,0.97,1,1,0.285,Smoking/Vaping,0
S00120,1,1,0,3,6,0.74,1,4,0.201,Extortion,1
S00121,4,1,3,1,7,0.85,1,25,0.276,Membership in fraternities,1
S00122,3,1,2,2,6,0.42,0,125,0.571,Public display of affection,0
S00123,5,1,4,0,8,0.27,0,182,0.644,Wearing inappropriate/incomplete uniform,1
S00124,6,5,1,3,10,0.68,1,8,0.222,Forgery,1
S00125,5,2,3,2,9,0.9,1,5,0.237,Bullying,1
S00126,6,2,4,0,7,0.15,0,110,0.549,Use of foul language,0
S00127,2,2,0,2,8,0.26,0,182,0.523,Wearing inappropriate/incomplete uniform,0
S00128,1,1,0,3,6,0.92,1,9,0.125,Stealing property,0
S00129,1,1,0,1,3,0.37,0,103,0.542,Littering the campus,1
S00130,1,1,0,0,6,0.22,0,48,0.757,Wearing inappropriate/incomplete uniform,0
S00131,4,0,4,1,6,0.43,0,33,0.455,Use of foul language,0
S00132,4,2,2,1,9,0.67,1,15,0.064,Cheating in examinations,0
S00133,1,0,1,0,3,0.11,0,90,0.429,Unexcused tardiness/absence from class,0
S00134,4,1,3,0,7,0.22,0,83,0.634,Unexcused tardiness/absence from class,0
S00135,0,0,0,1,4,0.45,0,58,0.412,Littering the campus,0
S00136,6,2,4,2,11,0.47,0,174,0.415,Unexcused tardiness/absence from class,1
S00137,1,1,0,0,5,0.19,0,107,0.587,Public display of affection,0
S00138,6,3,3,1,8,0.86,1,5,0.329,Membership in fraternities,1
S00139,1,0,1,1,5,0.25,0,114,0.705,Wearing inappropriate/incomplete uniform,0
S00140,3,2,1,2,9,0.32,0,166,0.627,Unexcused tardiness/absence from class,1
S00141,8,5,3,0,12,0.71,1,19,0.188,Membership in fraternities,1
S00142,7,6,1,0,9,0.73,1,31,0.273,Cheating in examinations,1
S00143,5,1,4,1,7,0.46,0,21,0.679,Use of foul language,0
S00144,2,2,0,1,8,0.11,0,180,0.766,Wearing inappropriate/incomplete uniform,0
S00145,2,0,2,2,6,0.4,0,28,0.589,Public display of affection,0
S00146,6,4,2,2,12,0.82,1,39,0.151,Engaging in gambling,1
S00147,6,3,3,2,9,0.83,1,34,0.052,Vandalism,1
S00148,3,2,1,0,6,0.67,1,17,0.106,Gross disrespect to authority,1
S00149,0,0,0,1,2,0.44,0,95,0.479,Public display of affection,0
S00150,5,1,4,0,9,0.21,0,57,0.535,Wearing inappropriate/incomplete uniform,0
S00151,7,5,2,1,10,0.84,1,30,0.329,Gross disrespect to authority,1
S00152,4,3,1,3,9,0.84,1,10,0.045,Vandalism,0
S00153,2,1,1,0,6,0.93,1,19,0.338,Stealing property,1
S00154,5,2,3,2,8,0.8,1,18,0.3,Engaging in immoral conduct,1
S00155,5,4,1,0,8,0.73,1,3,0.033,Cheating in examinations,0
S00156,8,6,2,3,13,0.93,1,26,0.133,Gross disrespect to authority,0
S00157,2,1,1,1,6,0.79,1,30,0.31,Cheating in examinations,0
S00158,6,2,4,1,10,0.34,0,152,0.74,Public display of affection,0
S00159,5,5,0,0,7,0.63,1,7,0.331,Bullying,1
S00160,2,0,2,0,6,0.27,0,104,0.41,Use of foul language,0
S00161,7,6,1,3,15,0.77,1,39,0.143,Engaging in gambling,1
S00162,9,6,3,3,15,0.77,1,6,0.324,Bullying,1
S00163,5,4,1,3,12,0.72,1,40,0.239,Extortion,1
S00164,3,2,1,1,6,0.19,0,80,0.483,Littering the campus,0
S00165,3,2,1,0,6,0.4,0,42,0.719,Public display of affection,0
S00166,6,4,2,1,10,0.61,1,31,0.151,Extortion,1
S00167,8,5,3,0,10,0.78,1,18,0.093,Cheating in examinations,1
S00168,4,2,2,2,8,0.37,0,100,0.8,Use of foul language,0
S00169,2,2,0,1,4,0.75,1,7,0.327,Stealing property,1
S00170,4,1,3,2,10,0.27,0,153,0.713,Use of foul language,0
S00171,2,0,2,1,7,0.3,0,46,0.523,Littering the campus,0
S00172,9,6,3,1,11,0.86,1,8,0.02,Forgery,0
S00173,4,1,3,2,11,0.39,0,153,0.729,Public display of affection,0
S00174,6,3,3,1,12,0.89,1,27,0.033,Stealing property,1
S00175,2,1,1,2,5,0.9,1,36,0.077,Extortion,0
S00176,5,5,0,3,12,0.98,1,12,0.032,Engaging in gambling,1
S00177,2,1,1,0,6,0.41,0,149,0.633,Unexcused tardiness/absence from class,0
S00178,5,5,0,1,9,0.81,1,21,0.346,Extortion,1
S00179,4,0,4,2,9,0.35,0,197,0.675,Public display of affection,0
S00180,3,2,1,1,7,0.38,0,25,0.691,Unexcused tardiness/absence from class,0
S00181,3,3,0,3,8,0.71,1,35,0.345,Gross disrespect to authority,1
S00182,3,3,0,1,8,0.77,1,33,0.141,Engaging in gambling,0
S00183,7,6,1,2,14,0.93,1,5,0.349,Membership in fraternities,0
S00184,8,6,2,3,15,0.94,1,37,0.271,Bullying,1
S00185,4,3,1,1,6,0.92,1,2,0.166,Extortion,1
S00186,5,4,1,2,12,0.81,1,2,0.195,Engaging in gambling,1
S00187,5,2,3,3,10,0.8,1,32,0.073,Smoking/Vaping,1
S00188,7,5,2,3,11,0.77,1,18,0.167,Vandalism,1
S00189,3,1,2,0,6,0.34,0,188,0.731,Littering the campus,0
S00190,5,2,3,1,8,0.94,1,9,0.269,Bullying,1
S00191,9,6,3,0,14,0.95,1,19,0.293,Cheating in examinations,1
S00192,9,6,3,0,12,0.7,1,11,0.013,Smoking/Vaping,1
S00193,7,6,1,0,10,0.95,1,14,0.311,Gross disrespect to authority,1
S00194,7,5,2,1,9,0.87,1,26,0.273,Stealing property,1
S00195,3,3,0,3,9,0.9,1,30,0.168,Cheating in examinations,0
S00196,7,6,1,1,11,0.77,1,5,0.001,Vandalism,1
S00197,5,2,3,1,8,0.11,0,192,0.736,Littering the campus,0
S00198,2,0,2,2,6,0.4,0,166,0.449,Use of foul language,1
S00199,7,4,3,1,9,0.75,1,6,0.272,Stealing property,1
S00200,3,1,2,3,10,0.9,1,27,0.084,Smoking/Vaping,1
S00201,4,1,3,0,5,0.11,0,32,0.472,Littering the campus,1
S00202,5,3,2,1,11,0.75,1,22,0.126,Engaging in immoral conduct,0
S00203,6,3,3,1,8,0.62,1,10,0.244,Engaging in immoral conduct,1
S00204,7,4,3,1,9,0.95,1,4,0.258,Membership in fraternities,0
S00205,5,3,2,1,8,0.75,1,18,0.034,Forgery,1
S00206,7,5,2,1,13,0.85,1,34,0.313,Engaging in gambling,1
S00207,6,2,4,0,9,0.5,0,83,0.467,Littering the campus,0
S00208,2,1,1,2,9,0.89,1,22,0.102,Engaging in gambling,1
S00209,0,0,0,0,1,0.33,0,61,0.689,Unexcused tardiness/absence from class,0
S00210,4,4,0,1,10,0.62,1,2,0.117,Cheating in examinations,1
S00211,8,5,3,2,14,0.92,1,14,0.22,Bullying,1
S00212,8,5,3,2,14,0.85,1,26,0.309,Engaging in gambling,1
S00213,1,1,0,2,4,0.49,0,39,0.477,Littering the campus,0
S00214,7,4,3,0,10,0.79,1,5,0.25,Membership in fraternities,1
S00215,4,3,1,0,6,0.69,1,3,0.248,Stealing property,1
S00216,8,6,2,1,11,0.99,1,32,0.037,Forgery,1
S00217,2,2,0,2,9,0.73,1,33,0.168,Extortion,1
S00218,6,4,2,0,10,0.92,1,7,0.35,Forgery,1
S00219,5,3,2,1,8,0.95,1,29,0.051,Vandalism,1
S00220,4,2,2,0,9,0.91,1,29,0.207,Forgery,0
S00221,4,1,3,3,9,0.95,1,8,0.081,Cheating in examinations,1
S00222,3,0,3,1,8,0.25,0,52,0.797,Unexcused tardiness/absence from class,0
S00223,3,1,2,1,7,0.39,0,71,0.517,Use of foul language,0
S00224,5,2,3,1,7,0.9,1,34,0.213,Cheating in examinations,0
S00225,2,2,0,3,10,0.97,1,35,0.348,Forgery,0
S00226,4,2,2,0,7,0.4,0,169,0.513,Public display of affection,0
S00227,6,3,3,0,7,0.65,1,1,0.314,Vandalism,1
S00228,5,5,0,2,10,0.66,1,6,0.267,Gross disrespect to authority,1
S00229,2,2,0,3,8,0.77,1,40,0.219,Membership in fraternities,1
S00230,4,1,3,3,11,0.63,1,29,0.007,Gross disrespect to authority,1
S00231,4,0,4,1,7,0.37,0,184,0.772,Use of foul language,0
S00232,7,5,2,2,14,0.68,1,21,0.148,Smoking/Vaping,0
S00233,4,1,3,0,6,0.23,0,51,0.64,Use of foul language,1
S00234,2,1,1,1,7,0.77,1,3,0.053,Engaging in immoral conduct,1
S00235,6,2,4,2,13,0.27,0,103,0.708,Wearing inappropriate/incomplete uniform,0
S00236,6,5,1,0,7,0.97,1,17,0.193,Cheating in examinations,1
S00237,2,2,0,0,6,0.62,1,1,0.315,Vandalism,1
S00238,7,6,1,1,10,0.95,1,4,0.002,Gross disrespect to authority,0
S00239,5,2,3,0,7,0.87,1,36,0.089,Stealing property,0
S00240,5,2,3,0,6,0.39,0,28,0.727,Public display of affection,0
S00241,4,1,3,1,8,0.94,1,14,0.038,Vandalism,1
S00242,2,2,0,3,7,0.84,1,8,0.229,Extortion,0
S00243,6,5,1,3,10,0.65,1,1,0.315,Engaging in immoral conduct,1
S00244,5,5,0,3,9,0.66,1,14,0.052,Cheating in examinations,1
S00245,4,1,3,0,5,0.67,1,10,0.251,Cheating in examinations,1
S00246,2,1,1,0,4,0.17,0,94,0.718,Littering the campus,0
S00247,3,1,2,0,7,0.63,1,27,0.089,Forgery,0
S00248,6,2,4,0,8,0.25,0,150,0.481,Use of foul language,0
S00249,5,5,0,3,13,0.91,1,4,0.03,Vandalism,1
S00250,5,3,2,2,11,0.68,1,24,0.223,Cheating in examinations,0
S00251,6,5,1,2,9,0.9,1,27,0.065,Smoking/Vaping,0
S00252,3,1,2,3,11,0.7,1,7,0.063,Cheating in examinations,1
S00253,6,3,3,2,13,0.82,1,29,0.299,Membership in fraternities,1
S00254,7,4,3,0,9,0.71,1,20,0.347,Bullying,1
S00255,2,2,0,2,9,0.87,1,30,0.115,Stealing property,1
S00256,2,1,1,0,3,0.81,1,12,0.231,Bullying,1
S00257,4,3,1,2,8,0.91,1,31,0.084,Engaging in immoral conduct,1
S00258,5,5,0,3,10,0.99,1,12,0.239,Engaging in immoral conduct,1
S00259,3,0,3,2,10,0.17,0,94,0.703,Use of foul language,0
S00260,3,1,2,1,8,0.33,0,50,0.703,Unexcused tardiness/absence from class,0
S00261,3,1,2,1,8,0.93,1,5,0.128,Smoking/Vaping,1
S00262,4,4,0,2,8,0.61,1,5,0.127,Bullying,1
S00263,5,2,3,0,7,0.15,0,131,0.564,Wearing inappropriate/incomplete uniform,1
S00264,6,3,3,0,11,0.69,1,25,0.134,Bullying,1
S00265,4,1,3,1,10,0.98,1,40,0.022,Extortion,1
S00266,3,3,0,0,7,0.73,1,17,0.235,Extortion,1
S00267,4,0,4,0,6,0.2,0,23,0.68,Use of foul language,0
S00268,3,0,3,1,8,0.22,0,134,0.524,Wearing inappropriate/incomplete uniform,0
S00269,3,0,3,0,4,0.24,0,62,0.648,Unexcused tardiness/absence from class,0
S00270,9,6,3,1,11,0.88,1,38,0.325,Vandalism,1
S00271,3,1,2,0,4,0.45,0,190,0.778,Unexcused tardiness/absence from class,0
S00272,3,1,2,2,8,0.34,0,128,0.646,Wearing inappropriate/incomplete uniform,0
S00273,5,4,1,0,10,0.83,1,36,0.093,Bullying,1
S00274,3,2,1,2,6,0.13,0,180,0.502,Wearing inappropriate/incomplete uniform,0
S00275,3,3,0,2,7,0.87,1,38,0.283,Engaging in immoral conduct,1
S00276,1,0,1,1,3,0.3,0,88,0.415,Use of foul language,0
S00277,4,4,0,0,8,0.67,1,36,0.058,Bullying,1
S00278,5,1,4,1,8,0.11,0,158,0.493,Use of foul language,0
S00279,9,6,3,2,16,0.95,1,39,0.321,Membership in fraternities,1
S00280,4,2,2,1,7,0.72,1,21,0.143,Engaging in gambling,0
S00281,1,1,0,2,7,0.96,1,7,0.258,Stealing property,1
S00282,7,5,2,1,10,0.85,1,15,0.163,Cheating in examinations,1
S00283,4,4,0,2,9,0.91,1,21,0.009,Membership in fraternities,1
S00284,4,4,0,1,10,0.88,1,16,0.04,Engaging in gambling,0
S00285,6,4,2,1,11,0.81,1,12,0.284,Engaging in immoral conduct,0
S00286,7,5,2,3,15,0.77,1,24,0.204,Extortion,1
S00287,5,1,4,2,8,0.24,0,125,0.698,Wearing inappropriate/incomplete uniform,1
S00288,3,1,2,0,6,0.92,1,34,0.294,Forgery,1
S00289,6,2,4,2,10,0.17,0,62,0.472,Wearing inappropriate/incomplete uniform,0
S00290,7,6,1,2,12,0.9,1,31,0.056,Engaging in gambling,0
S00291,6,6,0,3,11,0.9,1,35,0.094,Gross disrespect to authority,1
S00292,2,1,1,1,5,0.98,1,8,0.229,Smoking/Vaping,1
S00293,3,2,1,1,6,0.4,0,164,0.574,Public display of affection,0
S00294,7,5,2,1,12,0.79,1,2,0.111,Smoking/Vaping,1
S00295,4,1,3,1,7,0.84,1,31,0.087,Gross disrespect to authority,0
S00296,5,5,0,3,9,0.98,1,40,0.239,Smoking/Vaping,0
S00297,1,0,1,2,7,0.31,0,128,0.509,Unexcused tardiness/absence from class,0
S00298,3,1,2,2,7,0.71,1,39,0.189,Gross disrespect to authority,0
S00299,3,3,0,1,8,0.88,1,13,0.266,Engaging in gambling,0
S00300,5,2,3,2,9,0.87,1,29,0.247,Vandalism,1
S00301,4,0,4,1,6,0.14,0,169,0.762,Public display of affection,0
S00302,3,1,2,2,7,0.93,1,4,0.072,Vandalism,1
S00303,1,1,0,1,6,0.12,0,193,0.625,Unexcused tardiness/absence from class,0
S00304,2,1,1,3,6,0.96,1,12,0.142,Forgery,1
S00305,2,1,1,2,7,0.74,1,15,0.23,Membership in fraternities,1
S00306,0,0,0,2,3,0.24,0,181,0.593,Wearing inappropriate/incomplete uniform,0
S00307,1,1,0,2,8,0.45,0,152,0.566,Public display of affection,0
S00308,7,5,2,1,10,0.85,1,8,0.1,Engaging in gambling,1
S00309,4,4,0,0,8,0.67,1,35,0.315,Extortion,0
S00310,4,1,3,0,6,0.29,0,164,0.618,Unexcused tardiness/absence from class,0
S00311,8,5,3,3,16,0.68,1,39,0.044,Bullying,1
S00312,3,2,1,0,5,0.41,0,49,0.619,Public display of affection,1
S00313,5,4,1,1,11,0.92,1,17,0.32,Gross disrespect to authority,1
S00314,1,1,0,2,6,0.67,1,39,0.343,Engaging in gambling,1
S00315,4,4,0,2,7,0.78,1,21,0.297,Forgery,1
S00316,5,2,3,2,12,0.11,0,82,0.666,Use of foul language,0
S00317,6,3,3,1,10,0.8,1,39,0.271,Smoking/Vaping,1
S00318,4,1,3,0,6,0.99,1,40,0.313,Stealing property,1
S00319,4,2,2,1,6,0.73,1,24,0.308,Engaging in gambling,1
S00320,7,5,2,3,12,0.73,1,6,0.047,Extortion,1
S00321,4,2,2,0,6,0.36,0,76,0.504,Public display of affection,1
S00322,5,2,3,2,9,0.64,1,33,0.074,Vandalism,1
S00323,8,6,2,0,12,0.93,1,4,0.093,Forgery,1
S00324,7,6,1,3,11,0.63,1,37,0.017,Gross disrespect to authority,1
S00325,3,1,2,0,8,0.88,1,26,0.14,Gross disrespect to authority,1
S00326,3,1,2,2,6,0.97,1,16,0.164,Gross disrespect to authority,1
S00327,3,1,2,0,8,0.23,0,155,0.673,Public display of affection,0
S00328,2,2,0,2,6,0.81,1,2,0.152,Membership in fraternities,0
S00329,5,5,0,1,8,0.67,1,22,0.169,Forgery,1
S00330,2,0,2,1,8,0.38,0,78,0.786,Wearing inappropriate/incomplete uniform,0
S00331,7,6,1,0,10,0.63,1,36,0.074,Extortion,1
S00332,9,6,3,2,16,0.77,1,4,0.056,Engaging in immoral conduct,0
S00333,5,2,3,1,7,0.29,0,123,0.675,Unexcused tardiness/absence from class,0
S00334,4,3,1,3,9,1.0,1,36,0.235,Gross disrespect to authority,1
S00335,3,1,2,0,8,0.3,0,119,0.598,Use of foul language,0
S00336,7,5,2,2,11,0.73,1,14,0.277,Cheating in examinations,1
S00337,1,1,0,1,3,0.3,0,68,0.602,Littering the campus,0
S00338,8,5,3,0,10,0.91,1,22,0.012,Engaging in gambling,1
S00339,6,3,3,0,8,1.0,1,24,0.301,Cheating in examinations,0
S00340,5,3,2,3,11,0.85,1,26,0.095,Extortion,1
S00341,7,6,1,2,13,0.86,1,9,0.07,Gross disrespect to authority,1
S00342,6,6,0,2,10,0.87,1,39,0.038,Extortion,0
S00343,9,6,3,0,12,0.86,1,35,0.219,Extortion,0
S00344,4,1,3,1,10,0.81,1,39,0.242,Cheating in examinations,1
S00345,6,5,1,2,13,0.81,1,4,0.094,Cheating in examinations,1
S00346,7,5,2,2,12,0.94,1,39,0.03,Membership in fraternities,1
S00347,4,4,0,3,11,0.72,1,32,0.255,Gross disrespect to authority,1
S00348,4,1,3,0,9,0.98,1,30,0.293,Smoking/Vaping,1
S00349,5,2,3,2,9,1.0,1,36,0.29,Engaging in immoral conduct,1
S00350,2,2,0,3,10,0.97,1,19,0.04,Stealing property,0
S00351,4,2,2,0,8,0.72,1,38,0.044,Engaging in gambling,1
S00352,3,2,1,2,9,0.62,1,0,0.0,Bullying,1
S00353,6,6,0,3,13,0.88,1,19,0.172,Vandalism,1
S00354,7,5,2,2,11,0.62,1,24,0.04,Engaging in immoral conduct,1
S00355,6,3,3,0,9,0.86,1,6,0.283,Cheating in examinations,1
S00356,8,5,3,3,12,0.73,1,4,0.27,Engaging in immoral conduct,0
S00357,5,4,1,2,12,0.89,1,1,0.224,Gross disrespect to authority,1
S00358,7,6,1,2,11,0.77,1,2,0.056,Smoking/Vaping,0
S00359,3,1,2,0,7,0.78,1,7,0.092,Vandalism,1
S00360,6,6,0,1,8,0.97,1,6,0.281,Forgery,0
S00361,1,1,0,3,9,0.95,1,26,0.303,Cheating in examinations,0
S00362,5,1,4,0,8,0.22,0,50,0.5,Public display of affection,0
S00363,4,4,0,0,7,0.96,1,28,0.339,Vandalism,1
S00364,7,6,1,0,10,0.72,1,0,0.164,Engaging in gambling,1
S00365,7,4,3,3,13,0.72,1,19,0.03,Gross disrespect to authority,1
S00366,6,6,0,2,9,0.69,1,34,0.256,Engaging in gambling,0
S00367,0,0,0,1,4,0.33,0,69,0.799,Unexcused tardiness/absence from class,0
S00368,0,0,0,0,2,0.23,0,152,0.428,Public display of affection,0
S00369,3,1,2,1,7,0.31,0,131,0.737,Use of foul language,0
S00370,5,1,4,1,10,0.46,0,73,0.571,Littering the campus,0
S00371,3,0,3,0,5,0.35,0,191,0.657,Public display of affection,0
S00372,4,0,4,0,9,0.17,0,166,0.432,Wearing inappropriate/incomplete uniform,0
S00373,2,1,1,0,3,0.24,0,102,0.427,Littering the campus,0
S00374,6,2,4,2,9,0.13,0,109,0.494,Littering the campus,0
S00375,1,0,1,0,3,0.26,0,26,0.52,Unexcused tardiness/absence from class,0
S00376,3,0,3,0,5,0.35,0,135,0.558,Public display of affection,0
