student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation,no_violation_count,behavior_ratio
S00062,Bullying (Cyber or otherwise) Faculty members/personnel,5,3,1,1,10,1,0.667,1,17,1.545
S00063,Placing of stickers and other objects on school ID,6,0,2,1,9,0,0.417,0,17,1.7
S00064,Preventing normal operation (e.g. changing the configuration or BIOS setup of computers),1,1,1,1,4,1,0.333,1,59,11.8
S00065,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",2,0,0,1,3,0,0.15,0,83,20.75
S00066,Lack of respect to faculty/authority,1,0,0,0,1,1,0.083,1,100,50.0
S00067,Indecency in media,3,0,0,0,3,0,0.1,0,72,18.0
S00068,Public display of affection in any places inside the campus or in social media,1,0,1,0,2,0,0.1,1,96,32.0
S00069,Colored dyed color/hair/beard,3,0,3,0,6,0,0.3,0,61,8.714
S00070,Extortion or blackmailing or attempt,4,3,1,0,8,1,0.55,1,28,3.111
S00071,Use of foul language,6,0,0,1,7,0,0.283,0,42,5.25
S00072,"A student caught lending, borrowing, using another person’s ID/SSP",6,0,0,0,6,0,0.2,0,61,8.714
S00073,"Introduction of improper, foul or indecent language or gesture",6,0,1,1,8,1,0.4,1,33,3.667
S00074,"Cheating in examinations, projects, case reports and research papers of others",6,0,1,0,7,1,0.317,1,56,7.0
S00075,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",5,0,0,0,5,0,0.167,0,28,4.667
S00076,Viewing pornographic sites on the Internet/websites in the Computer Laboratory,3,1,1,1,6,1,0.4,1,61,8.714
S00077,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",5,0,1,1,7,0,0.317,0,43,5.375
S00078,Extortion or blackmailing or attempt,1,2,0,0,3,1,0.283,0,72,18.0
S00079,"Forging signatures of school authorities, parents, guardians or students",5,3,0,0,8,1,0.517,1,31,3.444
S00080,Engaging in premarital sex,1,2,0,0,3,1,0.283,0,55,13.75
S00081,"Grave threat on any student, personnel or administrator",1,1,0,1,3,1,0.267,0,73,18.25
S00082,"Wearing of school uniform/program uniform improperly (e.g. club shirt, outing, internet places)",3,0,1,0,4,0,0.167,0,71,14.2
S00083,Recruitment and/or membership in sororities and fraternities,2,1,0,1,4,1,0.3,0,81,16.2
S00084,Bringing dishonor to the name of school,5,0,0,1,6,1,0.3,1,42,6.0
S00085,Bringing outsiders to school during school function/activity,3,3,0,1,7,1,0.533,0,33,4.125
S00086,Recruitment and/or membership in sororities and fraternities,4,0,1,0,5,1,0.25,1,53,8.833
S00087,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",6,0,0,0,6,1,0.25,0,55,7.857
S00088,"Wearing of ripped/distressed jeans, crop top, sleeveless, backless, off-shoulder, see-through blouses, spaghetti strap, tube top, body cone, mini skirt, open toe shoes",2,0,2,0,4,0,0.2,0,75,15.0
S00089,Jumping over the fence,1,1,1,0,3,1,0.25,1,72,18.0
S00090,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",6,2,1,1,10,1,0.6,1,23,2.091
S00091,Use of foul language,2,0,0,0,2,0,0.067,0,82,27.333
S00092,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",2,2,0,1,5,1,0.4,0,68,11.333
S00093,Using another person's identity,4,0,0,1,5,1,0.267,0,49,8.167
S00094,Use of foul language,5,0,1,1,7,0,0.317,1,39,4.875
S00095,"Grave threat on any student, personnel or administrator",6,0,0,1,7,1,0.333,0,35,4.375
S00096,"Possession or use of deadly weapons, explosives, prohibited drugs",1,3,0,0,4,1,0.383,1,52,10.4
S00097,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),2,0,3,0,5,0,0.267,0,69,11.5
S00098,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,4,0,0,0,4,0,0.133,0,66,13.2
S00099,Gambling/betting in all forms,3,1,0,1,5,1,0.333,0,58,9.667
S00100,Using another person's identity,1,3,1,0,5,1,0.45,1,59,9.833
S00101,"Display, possession or distribution of pornographic materials, downloading and uploading of pornographic pictures",3,1,1,1,6,1,0.4,1,38,5.429
S00102,Gambling/betting in all forms,4,2,1,1,8,1,0.533,1,31,3.444
S00103,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,5,2,1,0,8,1,0.483,0,30,3.333
S00104,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",5,3,1,1,10,1,0.667,1,10,0.909
S00105,Leaving the classroom without permission during class hour and school activity,3,0,0,1,4,1,0.233,0,64,12.8
S00106,Promoting or participating in immoral/indecent conduct on or off campus,5,2,0,0,7,1,0.417,1,43,5.375
S00107,Wilful and malicious damage of the property of any member of school community,1,1,0,0,2,1,0.183,0,100,33.333
S00108,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",2,3,1,0,6,1,0.483,1,54,7.714
S00109,Colored nail polish,6,0,1,1,8,0,0.35,1,36,4.0
S00110,Extortion or blackmailing or attempt,5,3,0,1,9,1,0.6,0,23,2.3
S00111,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,1,1,8,0,0.35,0,14,1.556
S00112,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,3,0,1,0,4,1,0.217,0,67,13.4
S00113,Extortion or blackmailing or attempt,4,3,0,1,8,1,0.567,0,33,3.667
S00114,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,5,1,1,0,7,1,0.383,0,66,8.25
S00115,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",5,0,1,1,7,1,0.367,1,41,5.125
S00116,Cybersecurity breach (plagiarism),4,0,0,0,4,1,0.183,0,67,13.4
S00117,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",2,3,1,0,6,1,0.483,0,52,7.429
S00118,Viewing pornographic sites on the Internet/websites in the Computer Laboratory,6,3,0,1,10,1,0.633,1,3,0.273
S00119,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",4,0,1,0,5,0,0.2,0,70,11.667
S00120,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",5,0,1,0,6,1,0.283,1,57,8.143
S00121,Consistent violation of school rules and regulations,3,3,0,1,7,1,0.533,1,49,6.125
S00122,Real acts of threat (major/minor) that constitute incompatibility,2,3,0,0,5,1,0.417,0,48,8.0
S00123,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",4,0,1,1,6,1,0.333,1,66,9.429
S00124,Bringing dishonor to the name of school,1,2,1,0,4,1,0.35,1,55,11.0
S00125,"Forging signatures of school authorities, parents, guardians or students",6,2,1,1,10,1,0.6,0,23,2.091
S00126,Membership in sororities and fraternities,5,1,1,1,8,1,0.467,1,56,6.222
S00127,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",1,0,0,1,2,1,0.167,0,74,24.667
S00128,Shoplifting,3,0,0,0,3,1,0.15,0,67,16.75
S00129,Wearing of improper and other colored PE uniforms,3,0,0,0,3,0,0.1,1,73,18.25
S00130,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,0,0,6,0,0.2,0,40,5.714
S00131,"Cheating in examinations, projects, case reports and research papers of others",1,0,0,0,1,1,0.083,1,75,37.5
S00132,Gaining access to the school computer or computer network,5,0,0,0,5,1,0.217,1,55,9.167
S00133,Wilful failure to comply with promises or notices issued for purposes of investigation in connection with conducted trial of offense,3,3,0,1,7,1,0.533,0,31,3.875
S00134,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",3,0,0,0,3,0,0.1,0,77,19.25
S00135,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",5,0,0,1,6,1,0.3,1,38,5.429
S00136,"Cheating in examinations, projects, case reports and research papers of others",2,3,0,1,6,1,0.5,1,66,9.429
S00137,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",5,0,3,0,8,0,0.367,0,32,3.556
S00138,Engaging in premarital sex,5,0,0,1,6,1,0.3,1,44,6.286
S00139,Bullying (Cyber or otherwise) Faculty members/personnel,4,2,1,0,7,1,0.45,1,51,6.375
S00140,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",6,0,0,0,6,1,0.25,1,33,4.714
S00141,Bullying (Cyber or otherwise) Faculty members/personnel,6,3,1,1,11,1,0.7,0,12,1.0
S00142,Bringing dishonor to the name of school,6,2,0,1,9,1,0.533,1,36,3.6
S00143,Leaving the classroom without permission during class hour and school activity,2,1,1,1,5,1,0.367,1,45,7.5
S00144,"Grave threat on any student, personnel or administrator",2,0,0,1,3,1,0.2,0,76,19.0
S00145,"A student caught lending, borrowing, using another person’s ID/SSP",6,0,3,1,10,0,0.483,0,26,2.364
S00146,Shoplifting,1,0,0,1,2,1,0.167,1,91,30.333
S00147,Engaging in premarital sex,5,1,1,0,7,1,0.383,1,29,3.625
S00148,Students/fellow students - Verbally/Written,6,1,1,0,8,1,0.417,1,19,2.111
S00149,Assault fellow students,3,1,1,0,5,1,0.317,0,65,10.833
S00150,Use of foul language,4,0,0,1,5,0,0.217,1,59,9.833
S00151,Wilful and malicious damage of the property of any member of school community,4,2,0,1,7,1,0.467,0,43,5.375
S00152,Forgery,2,3,1,0,6,1,0.483,1,56,8.0
S00153,"Falsification of official documents, test papers, clearances and confidential",1,0,1,1,3,1,0.233,1,72,18.0
S00154,Bullying (Cyber or otherwise) Faculty members/personnel,2,0,1,1,4,1,0.267,1,72,14.4
S00155,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",5,0,0,1,6,0,0.25,0,50,7.143
S00156,"Stealing property of the school, students, school personnel, and fellow students",1,0,0,1,2,1,0.167,0,76,25.333
S00157,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,2,1,9,0,0.417,1,47,4.7
S00158,Assault fellow students,6,0,0,0,6,1,0.25,1,50,7.143
S00159,Real acts of threat (major/minor) that constitute incompatibility,1,1,0,0,2,1,0.183,0,71,23.667
S00160,"Wearing of school uniform/program uniform improperly (e.g. club shirt, outing, internet places)",4,0,1,1,6,0,0.283,0,58,8.286
S00161,Promoting or participating in immoral/indecent conduct on or off campus,1,0,0,1,2,1,0.167,0,74,24.667
S00162,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),5,0,3,0,8,0,0.367,0,47,5.222
S00163,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",5,0,2,0,7,0,0.3,0,56,7.0
S00164,"Cheating in examinations, projects, case reports and research papers of others",2,0,1,0,3,1,0.183,1,68,17.0
S00165,"Possession or use of deadly weapons, explosives, prohibited drugs",6,1,1,0,8,1,0.417,1,42,4.667
S00166,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",6,1,1,0,8,1,0.417,1,37,4.111
S00167,Unauthorized use of information,6,3,0,1,10,1,0.633,1,23,2.091
S00168,Leaving the classroom without permission during class hour and school activity,4,3,1,0,8,1,0.55,0,53,5.889
S00169,Bringing outsiders to school for improper purpose,2,1,0,1,4,1,0.3,1,64,12.8
S00170,"Vandalism, destruction of school properties",1,3,1,1,6,1,0.533,1,47,6.714
S00171,Using another person's identity,6,0,1,1,8,1,0.4,1,25,2.778
S00172,Leaving the classroom without permission during class hour and school activity,2,1,0,1,4,1,0.3,0,58,11.6
S00173,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,1,3,0,1,5,1,0.467,1,59,9.833
S00174,Promoting or participating in immoral/indecent conduct on or off campus,2,2,0,1,5,1,0.4,0,62,10.333
S00175,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,3,0,3,0,6,0,0.3,0,60,8.571
S00176,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,3,0,3,1,7,0,0.383,0,59,7.375
S00177,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",5,0,0,0,5,0,0.167,1,55,9.167
S00178,Recruitment and/or membership in sororities and fraternities,3,3,1,1,8,1,0.6,1,51,5.667
S00179,Inciting others to violate school regulations or not to attend classes,2,2,1,1,6,1,0.467,0,51,7.286
S00180,Real acts of threat (major/minor) that constitute incompatibility,6,2,1,0,9,1,0.517,1,52,5.2
S00181,Cybersecurity breach (plagiarism),1,3,1,0,5,1,0.45,0,68,11.333
S00182,Placing of stickers and other objects on school ID,6,0,3,0,9,0,0.4,0,22,2.2
S00183,Consistent violation of school rules and regulations,4,2,0,1,7,1,0.467,0,30,3.75
S00184,"A student caught lending, borrowing, using another person’s ID/SSP",1,0,1,0,2,0,0.1,0,90,30.0
S00185,Cybersecurity breach (plagiarism),4,2,0,0,6,1,0.383,0,45,6.429
S00186,Viewing pornographic sites on the Internet/websites in the Computer Laboratory,6,2,0,0,8,1,0.45,1,37,4.111
S00187,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",2,0,2,0,4,0,0.2,0,76,15.2
S00188,Forgery,2,0,0,0,2,1,0.117,1,81,27.0
S00189,"Vandalism, destruction of school properties",6,0,1,0,7,1,0.317,1,32,4.0
S00190,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,6,0,1,1,8,1,0.4,1,18,2.0
S00191,"Unauthorized enrichment or stealing whether attempted, frustrated, or consummated",6,2,0,0,8,1,0.45,0,25,2.778
S00192,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",5,2,0,0,7,1,0.417,0,47,5.875
S00193,Using another person's identity,4,0,0,0,4,1,0.183,1,66,13.2
S00194,"Cheating in examinations, projects, case reports and research papers of others",5,2,0,0,7,1,0.417,1,26,3.25
S00195,"Cheating in examinations, projects, case reports and research papers of others",2,2,0,0,4,1,0.317,0,67,13.4
S00196,Students/fellow students - Physically,1,2,1,0,4,1,0.35,0,73,14.6
S00197,Public display of affection in any places inside the campus or in social media,2,0,1,1,4,0,0.217,1,61,12.2
S00198,Posting below or circulating destructive language or signs in the internet or through multimedia,2,2,0,1,5,1,0.4,0,60,10.0
S00199,Promoting or participating in immoral/indecent conduct on or off campus,4,1,1,0,6,1,0.35,0,51,7.286
S00200,Wilful failure to comply with promises or notices issued for purposes of investigation in connection with conducted trial of offense,1,0,1,0,2,1,0.15,0,74,24.667
S00201,Engaging in trouble outside the campus endangering the name of school,1,2,0,1,4,1,0.367,0,71,14.2
S00202,"A student caught lending, borrowing, using another person’s ID/SSP",3,0,2,0,5,0,0.233,0,68,11.333
S00203,"Falsification of official documents, test papers, clearances and confidential",6,2,1,1,10,1,0.6,0,28,2.545
S00204,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,1,0,7,0,0.267,1,51,6.375
S00205,Cybersecurity breach (plagiarism),1,3,1,1,6,1,0.533,1,41,5.857
S00206,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,5,0,2,1,8,0,0.383,0,28,3.111
S00207,Gambling/betting in all forms,6,2,0,1,9,1,0.533,1,28,2.8
S00208,Use of foul language,3,0,1,0,4,0,0.167,0,73,14.6
S00209,"Display, possession or distribution of pornographic materials, downloading and uploading of pornographic pictures",6,0,1,0,7,1,0.317,0,46,5.75
S00210,Colored dyed color/hair/beard,5,0,3,0,8,0,0.367,0,78,8.667
S00211,Real acts of threat (major/minor) that constitute incompatibility,3,1,0,0,4,1,0.25,1,70,14.0
S00212,"Wearing of school uniform/program uniform improperly (e.g. club shirt, outing, internet places)",4,0,1,1,6,0,0.283,1,63,9.0
S00213,Real acts of threat (major/minor) that constitute incompatibility,6,1,1,1,9,1,0.5,1,35,3.5
S00214,Membership in sororities and fraternities,3,0,1,0,4,1,0.217,0,74,14.8
S00215,Using another person's identity,3,0,1,1,5,1,0.3,1,57,9.5
S00216,Gambling/betting in all forms,4,3,0,1,8,1,0.567,0,40,4.444
S00217,Placing of stickers and other objects on school ID,5,0,3,0,8,0,0.367,1,32,3.556
S00218,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",1,0,0,1,2,1,0.167,1,81,27.0
S00219,Using another person's identity,3,1,1,1,6,1,0.4,1,48,6.857
S00220,Forgery,1,2,1,1,5,1,0.433,1,63,10.5
S00221,Circulating destructive language and statement that is against the school through any platform,3,2,1,1,7,1,0.5,0,68,8.5
S00222,Gambling/betting in all forms,3,0,1,1,5,1,0.3,1,42,7.0
S00223,Bullying (Cyber or otherwise) Faculty members/personnel,4,0,0,1,5,1,0.267,0,63,10.5
S00224,Leaving the classroom without permission during class hour and school activity,6,3,0,1,10,1,0.633,1,0,0.0
S00225,"A student caught lending, borrowing, using another person’s ID/SSP",4,0,2,0,6,0,0.267,1,49,7.0
S00226,"Introduction of improper, foul or indecent language or gesture",1,1,0,1,3,1,0.267,1,86,21.5
S00227,Real acts of threat (major/minor) that constitute incompatibility,5,2,1,0,8,1,0.483,0,34,3.778
S00228,Lack of respect to faculty/authority,2,3,1,0,6,1,0.483,0,42,6.0
S00229,Lending/borrowing school ID as pass/for gate access,1,0,1,1,3,1,0.233,0,71,17.75
S00230,Promoting or participating in immoral/indecent conduct on or off campus,3,1,1,1,6,1,0.4,1,59,8.429
S00231,Lack of respect to faculty/authority,3,1,1,0,5,1,0.317,0,52,8.667
S00232,"Wearing of scarves, patches, caps",1,0,1,0,2,0,0.1,0,88,29.333
S00233,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",3,0,2,1,6,0,0.317,1,56,8.0
S00234,"Falsification of official documents, test papers, clearances and confidential",2,1,1,1,5,1,0.367,0,55,9.167
S00235,Shoplifting,3,3,1,1,8,1,0.6,1,58,6.444
S00236,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",5,1,0,1,7,1,0.4,0,46,5.75
S00237,"Vandalism, destruction of school properties",4,1,0,0,5,1,0.283,1,35,5.833
S00238,"Purchase, sale or distribution of alcoholic beverages or cigarettes",6,1,0,1,8,1,0.433,0,32,3.556
S00239,"Stealing property of the school, students, school personnel, and fellow students",3,2,0,0,5,1,0.35,1,50,8.333
S00240,Cybersecurity breach (plagiarism),5,1,0,1,7,1,0.4,1,48,6.0
S00241,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",2,2,1,1,6,1,0.467,1,46,6.571
S00242,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",3,0,0,1,4,1,0.233,1,64,12.8
S00243,"Vandalism, destruction of school properties",1,3,0,0,4,1,0.383,1,72,14.4
S00244,Placing of stickers and other objects on school ID,6,0,3,1,10,0,0.483,0,32,2.909
S00245,Colored nail polish,3,0,1,0,4,0,0.167,0,55,11.0
S00246,Colored nail polish,2,0,3,0,5,0,0.267,0,63,10.5
S00247,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,6,1,1,1,9,1,0.5,0,21,2.1
S00248,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",4,1,1,1,7,1,0.433,1,37,4.625
S00249,"Damage, destruction of network, computer or information (e.g., deleting someone else's file)",4,0,1,1,6,1,0.333,0,69,9.857
S00250,Engaging in trouble outside the campus endangering the name of school,5,2,1,1,9,1,0.567,1,31,3.1
S00251,"Littering the campus (candy wrappers, bottles, plastic materials)",4,0,2,0,6,0,0.267,0,41,5.857
S00252,Leaving the classroom without permission during class hour and school activity,6,1,0,1,8,1,0.433,1,40,4.444
S00253,Organizing of groups for purpose of destroying school properties,4,0,0,0,4,1,0.183,0,85,17.0
S00254,"Cheating in examinations, projects, case reports and research papers of others",6,3,0,0,9,1,0.55,1,32,3.2
S00255,Posting below or circulating destructive language or signs in the internet or through multimedia,1,0,1,1,3,1,0.233,0,63,15.75
S00256,Gaining access to the school computer or computer network,5,2,1,1,9,1,0.567,1,22,2.2
S00257,Jumping over the fence,5,2,1,1,9,1,0.567,1,39,3.9
S00258,"Unauthorized enrichment or stealing whether attempted, frustrated, or consummated",6,3,0,0,9,1,0.55,1,14,1.4
S00259,"Possession or use of deadly weapons, explosives, prohibited drugs",1,2,1,1,5,1,0.433,0,67,11.167
S00260,Inciting others to violate school regulations or not to attend classes,2,0,0,1,3,1,0.2,0,82,20.5
S00261,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",1,0,2,1,4,0,0.25,0,64,12.8
S00262,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,2,0,0,1,3,0,0.15,1,74,18.5
S00263,"Introduction of improper, foul or indecent language or gesture",3,0,0,0,3,1,0.15,0,40,10.0
S00264,Organizing of groups for purpose of destroying school properties,6,3,1,0,10,1,0.617,1,6,0.545
S00265,Unauthorized use of information,4,2,0,0,6,1,0.383,1,45,6.429
S00266,Shoplifting,3,1,1,0,5,1,0.317,1,47,7.833
S00267,"Stealing property of the school, students, school personnel, and fellow students",6,1,1,1,9,1,0.5,0,42,4.2
S00268,"Stealing property of the school, students, school personnel, and fellow students",3,1,0,1,5,1,0.333,1,43,7.167
S00269,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",2,0,2,1,5,0,0.283,0,60,10.0
