student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation
S0982,"Wearing of heavy make-up or cosmetics (dark mascara, lipstick)",5,0,1,0,6,0,0.283,1
S0067,Wearing and using of electronic headset and/or audio devices,5,1,0,0,6,0,0.317,1
S1315,"Wearing of scarves, patches, caps",6,1,0,1,8,0,0.433,1
S1735,Engaging in premarital sex,2,0,1,0,3,1,0.133,1
S2125,Students/fellow students - Physically,3,3,1,1,8,1,0.6,0
S0499,"Insubordination to authorities, supervisors, and personnel",5,3,0,1,9,1,0.6,1
S1456,Verbal or physical altercation between students or personnel,6,0,2,1,9,1,0.417,0
S1946,"Display, possession or distribution of pornographic materials",5,0,0,0,5,1,0.217,0
S1384,"Forging signatures of school authorities, parents, guardians",4,0,0,0,4,1,0.183,0
S1100,Using another person's identity,5,1,0,1,7,1,0.4,0
S0973,Bringing outsiders to school during school functions,5,0,1,1,7,1,0.367,0
S0149,Not following prescribed hair cut (trendy/punk haircut),4,0,1,1,6,0,0.333,1
S1023,Students/fellow students - Physically,1,0,1,0,2,1,0.15,1
S0605,Shoplifting,3,1,1,0,5,1,0.317,1
S1926,Posting below or circulating destructive language or hate speech,3,2,1,0,6,1,0.417,1
S0579,"Shouting, yelling boisterously, jeering, dropping materials",3,1,0,1,5,0,0.333,0
S1019,Unbecoming attitude of an image as Pitikarts such as lewd conduct,1,1,1,1,4,1,0.333,0
S0653,Public display of affection in any places inside the campus,3,1,0,1,5,0,0.333,0
S1865,"Possession or use of deadly weapons, explosives, projectiles",3,3,1,1,8,1,0.6,1
S0721,Indecency in media,5,3,1,1,10,0,0.667,1
S0757,"Altering information (e.g., changing the password or credentials)",6,0,2,1,9,1,0.417,0
S1508,"Wearing of ripped/distressed jeans, crop top, sleeveless shirt",1,1,1,1,4,0,0.333,1
S1562,"Grave threat on any student, personnel or administrator",2,0,0,1,3,1,0.15,0
S0218,"Shouting, yelling boisterously, jeering, dropping materials",1,0,0,0,1,0,0.083,1
S2457,"Gross acts of disobedience, disrespect in words and action",3,0,0,0,3,1,0.1,0
S1280,"Vandalism, destruction of school properties",1,0,1,0,2,1,0.1,1
S0826,Consistent violation of school rules and regulations,3,0,3,0,6,1,0.3,0
S1884,Engaging in premarital sex,4,3,1,0,8,1,0.55,1
S0828,Unauthorized use of information,6,0,0,1,7,1,0.283,0
S0761,Not following prescribed hair cut (trendy/punk haircut),6,0,0,0,6,0,0.2,0
S1784,Bringing outsiders to school for improper purpose,6,0,1,1,8,1,0.4,1
S1939,Extortion or blackmailing or attempt,6,0,1,0,7,1,0.317,1
S1381,"Altering information (e.g., changing the password or credentials)",5,0,0,0,5,1,0.167,0
S0931,Bringing dishonor to the name of school,3,1,1,1,6,1,0.4,1
S0187,Engaging in premarital sex,5,0,1,1,7,1,0.317,0
S1233,"Stealing property of the school, students, school personnel",1,2,0,0,3,1,0.283,0
S1408,Recruitment and/or membership in sororities and fraternities,5,3,0,0,8,1,0.517,1
S1662,Engaging in any form of gambling,1,2,0,0,3,1,0.283,0
S0069,"Wearing of plunging necklines, backless, spaghetti straps",1,1,0,1,3,1,0.267,0
S0395,Promoting or participating in immoral/indecent conduct,3,0,1,0,4,1,0.167,0
S1650,Cybersecurity breach (plagiarism),2,1,0,1,4,1,0.3,0
S2033,Membership in sororities and fraternities,5,0,0,1,6,1,0.3,1
S0474,"Grave threat on any student, personnel or administrator",3,3,0,1,7,1,0.533,0
S0987,Using another person's identity,4,0,1,0,5,1,0.25,1
S0821,Lending/borrowing school ID as pass/for gate access,6,0,0,0,6,1,0.25,0
S2319,Unauthorized use of information,2,0,2,0,4,1,0.2,0
S1418,"Smoking, vaping or possession of cigarettes, drinks, etc.",1,1,1,0,3,1,0.25,1
S1137,Students/fellow students - Physically,6,2,1,1,10,1,0.6,1
S1439,Shoplifting,2,0,0,0,2,1,0.067,0
S0914,Indecency in media,2,2,0,1,5,0,0.4,0
S0568,"Damage, destruction of network, computer or information system",4,0,0,1,5,1,0.267,0
S2074,Unexcused tardiness/absence from class,5,0,1,1,7,0,0.317,1
S1766,Pushing of prohibited drugs,6,0,0,1,7,1,0.333,0
S0950,Use of foul language,1,3,0,0,4,0,0.383,1
S0190,Public display of affection in any places inside the campus,2,0,3,0,5,0,0.267,0
S2432,Wilful failure to comply with promises or notices,4,0,0,0,4,1,0.133,0
S2053,Unbecoming attitude of an image as Pitikarts such as lewd conduct,3,1,0,1,5,1,0.333,0
S0943,Shoplifting,1,3,1,0,5,1,0.45,1
S0162,"Gross acts of disobedience, disrespect in words and action",3,1,1,1,6,1,0.4,1
S2189,Students/fellow students - Verbally/Written,4,2,1,1,8,1,0.533,1
S0170,"Grave threat on any student, personnel or administrator",5,2,1,0,8,1,0.483,0
S0925,Indecency in media,5,3,1,1,10,0,0.667,1
S1360,Posting below or circulating destructive language or hate speech,3,0,0,1,4,1,0.233,0
S1756,Shoplifting,5,2,0,0,7,1,0.417,1
S2286,Students/fellow students - Verbally/Written,1,1,0,0,2,1,0.183,0
S0151,Bullying (Cyber or otherwise) Faculty members/personnel,2,3,1,0,6,1,0.483,1
S0368,Unexcused tardiness/absence from class,6,0,1,1,8,0,0.35,1
S0519,"Stealing property of the school, students, school personnel",5,3,0,1,9,1,0.6,0
S2410,Placing of stickers and other objects on school ID,6,0,1,1,8,0,0.35,0
S0636,"Possession or use of deadly weapons, explosives, projectiles",3,0,1,0,4,1,0.217,0
S1848,"A student caught lending, borrowing, using another's ID",4,3,0,1,8,0,0.567,0
S1530,Engaging in premarital sex,5,1,1,0,7,1,0.383,0
S0158,Engaging in premarital sex,5,0,1,1,7,1,0.367,1
S1940,Gambling/betting in all forms,4,0,0,0,4,1,0.183,0
S0883,Engaging in trouble outside the campus endangering others,2,3,1,0,6,1,0.483,0
S1575,Bringing dishonor to the name of school,6,3,0,1,10,1,0.633,1
S0429,Bringing dishonor to the name of school,4,0,1,0,5,1,0.2,0
S0153,Providing/financing parties for prohibited drugs,5,0,1,0,6,1,0.283,1
S2296,Use of foul language,3,3,0,1,7,0,0.533,1
S2010,Extortion or blackmailing or attempt,2,3,0,0,5,1,0.417,0
S2270,Engaging in premarital sex,4,0,1,1,6,1,0.333,1
S0985,Leaving the classroom without permission during class hours,1,2,1,0,4,1,0.35,1
S1196,"Wearing of heavy make-up or cosmetics (dark mascara, lipstick)",6,2,1,1,10,0,0.6,0
S0904,Wearing and using of electronic headset and/or audio devices,5,1,1,1,8,0,0.467,1
S0957,"Introduction of improper, foul or indecent language online",1,0,0,1,2,1,0.167,0
S2328,Use of foul language,3,0,0,0,3,0,0.15,0
S1730,Promoting or participating in immoral/indecent conduct,3,0,0,0,3,1,0.1,1
S0616,Circulating destructive language and statement that defames,6,0,0,0,6,1,0.2,0
S1897,"Wearing of ripped/distressed jeans, crop top, sleeveless shirt",1,0,0,0,1,0,0.083,1
S1715,Indecency in media,5,0,0,0,5,0,0.217,1
S1123,Cybersecurity breach (plagiarism),3,3,0,1,7,1,0.533,0
S0813,Placing of stickers and other objects on school ID,3,0,0,0,3,0,0.1,0
S1437,Posting below or circulating destructive language or hate speech,5,0,0,1,6,1,0.3,1
S2185,Jumping over the fence,2,3,0,1,6,1,0.5,1
S2152,"Introduction of improper, foul or indecent language online",5,0,3,0,8,1,0.367,0
S1375,"Introducing false information, accessing someone else's data",5,0,0,1,6,1,0.3,1
S2028,Viewing pornographic sites on the Internet/website,4,2,1,0,7,1,0.45,1
S1560,Bringing outsiders to school for improper purpose,6,0,0,0,6,1,0.25,1
S0893,"Stealing property of the school, students, school personnel",6,3,1,1,11,1,0.7,0
S1376,Verbal or physical altercation between students or personnel,6,2,0,1,9,1,0.533,1
S1045,Consistent violation of school rules and regulations,2,1,1,1,5,1,0.367,1
S0012,Colored nail polish,2,0,0,1,3,0,0.2,0
S2083,Providing/financing parties for prohibited drugs,6,0,3,1,10,1,0.483,0
S0175,"Forging signatures of school authorities, parents, guardians",1,0,0,1,2,1,0.167,1
S1311,"Littering the campus (candy wrappers, bottles, plastics, etc.)",5,1,1,0,7,0,0.383,1
S0535,"Purchase, sale or distribution of alcoholic beverages",6,1,1,0,8,1,0.417,1
S1726,Leaving the classroom without permission during class hours,3,1,1,0,5,1,0.317,0
S0744,Pushing of prohibited drugs,4,0,0,1,5,1,0.217,1
S1186,Wilful and malicious damage of the property of any member,4,2,0,1,7,1,0.467,0
S2414,Students/fellow students - Verbally/Written,2,3,1,0,6,1,0.483,1
S0741,Placing of stickers and other objects on school ID,1,0,1,1,3,0,0.233,1
S0157,"Shouting, yelling boisterously, jeering, dropping materials",2,0,1,1,4,0,0.267,1
S1620,Bringing outsiders to school during school functions,5,0,0,1,6,1,0.25,0
S1646,Viewing pornographic sites on the Internet/website,1,0,0,1,2,1,0.167,0
S1190,Providing/financing parties for prohibited drugs,6,0,2,1,9,1,0.417,1
S0676,Wilful failure to comply with promises or notices,6,0,0,0,6,1,0.25,1
S0420,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",1,1,0,0,2,0,0.183,0
S0449,"Shouting, yelling boisterously, jeering, dropping materials",4,0,1,1,6,0,0.283,0
S2278,Unauthorized use of information,1,0,0,1,2,1,0.167,0
S0979,"A student caught lending, borrowing, using another's ID",5,0,3,0,8,0,0.367,0
S0452,Bringing outsiders to school during school functions,5,0,2,0,7,1,0.3,0
S1684,Viewing pornographic sites on the Internet/website,2,0,1,0,3,1,0.183,1
S0679,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,1,1,0,8,0,0.417,1
S1142,Posting below or circulating destructive language or hate speech,6,1,1,0,8,1,0.417,1
S2364,Circulating destructive language and statement that defames,6,3,0,1,10,1,0.633,1
S1616,Colored nail polish,4,3,1,0,8,0,0.55,0
S1612,"Damage, destruction of network, computer or information system",2,1,0,1,4,1,0.3,1
S2220,Engaging in any form of gambling,1,3,1,1,6,1,0.533,1
S2352,Unauthorized enrichment or stealing whether attempted or not,6,0,1,1,8,1,0.4,1
S0488,Bullying (Cyber or otherwise) Faculty members/personnel,2,1,0,1,4,1,0.3,0
S2075,Providing/financing parties for prohibited drugs,1,3,0,1,5,1,0.467,1
S0704,Wearing inappropriate/incomplete uniform (No valid reason),2,2,0,1,5,0,0.4,0
S0805,"Falsification of official documents, test papers, records",3,0,3,0,6,1,0.3,0
S1349,Indecency in media,3,0,3,1,7,0,0.383,0
S1843,Lending/borrowing school ID as pass/for gate access,5,0,0,0,5,1,0.167,1
S1160,Unbecoming attitude of an image as Pitikarts such as lewd conduct,3,3,1,1,8,1,0.6,1
S1067,"Damage, destruction of network, computer or information system",2,2,1,1,6,1,0.467,0
S0654,Wearing of accessories not part of the daily uniform,6,2,1,0,9,0,0.517,1
S2362,Jumping over the fence,1,3,1,0,5,1,0.45,0
S2009,Organizing of groups for purpose of destroying school harmony,6,0,3,0,9,1,0.4,0
S1497,Unbecoming attitude of an image as Pitikarts such as lewd conduct,4,2,0,1,7,1,0.467,0
S0978,Posting below or circulating destructive language or hate speech,1,0,1,0,2,1,0.1,0
S1218,"A student caught lending, borrowing, using another's ID",4,2,0,0,6,0,0.383,0
S1610,Direct assault on any member of the school community,6,2,0,0,8,1,0.45,1
S1628,Unauthorized enrichment or stealing whether attempted or not,2,0,2,0,4,1,0.2,0
S0225,Forgery,2,0,0,0,2,1,0.117,1
S1357,Conviction for a criminal offense by authorities,6,0,1,0,7,1,0.317,1
S2024,Providing/financing parties for prohibited drugs,6,0,1,1,8,1,0.4,1
S1694,Viewing pornographic sites on the Internet/website,6,2,0,0,8,1,0.45,0
S0286,Wearing of improper and other colored PE uniforms,5,2,0,0,7,0,0.417,0
S1556,Bringing outsiders to school for improper purpose,4,0,0,0,4,1,0.183,1
S1274,Consistent violation of school rules and regulations,5,2,0,0,7,1,0.417,1
S1220,"Display, possession or distribution of pornographic materials",2,2,0,0,4,1,0.317,0
S1029,Engaging in any form of gambling,1,2,1,0,4,1,0.35,0
S0129,Wearing of school uniform/program uniform improperly,2,0,1,1,4,0,0.217,1
S0023,Lending/borrowing school ID as pass/for gate access,2,2,0,1,5,1,0.4,0
S0032,"Altering information (e.g., changing the password or credentials)",4,1,1,0,6,1,0.35,0
S0722,"Vandalism, destruction of school properties",1,0,1,0,2,1,0.15,0
S1711,Recruitment and/or membership in sororities and fraternities,1,2,0,1,4,1,0.367,0
S1725,Pushing of prohibited drugs,3,0,2,0,5,1,0.233,0
S0789,"Grave threat on any student, personnel or administrator",6,2,1,1,10,1,0.6,0
S1773,Students/fellow students - Verbally/Written,6,0,1,0,7,1,0.267,1
S2444,Circulating destructive language and statement that defames,1,3,1,1,6,1,0.533,1
S2197,"Altering information (e.g., changing the password or credentials)",5,0,2,1,8,1,0.383,0
S0669,"Littering the campus (candy wrappers, bottles, plastics, etc.)",6,2,0,1,9,0,0.533,1
S1592,Gambling/betting in all forms,3,0,1,0,4,1,0.167,0
S0063,"Possession or use of deadly weapons, explosives, projectiles",6,0,1,0,7,1,0.317,0
S0329,Leaving the classroom without permission during class hours,5,0,3,0,8,1,0.367,0
S0767,"Littering the campus (candy wrappers, bottles, plastics, etc.)",3,1,0,0,4,0,0.25,1
S0133,Colored nail polish,4,0,1,1,6,0,0.283,1
S0417,Bullying (Cyber or otherwise) Faculty members/personnel,6,1,1,1,9,1,0.5,1
S1413,Unauthorized use of information,3,0,1,0,4,1,0.217,0
S1553,Jumping over the fence,3,0,1,1,5,1,0.3,1
S0578,Students/fellow students - Physically,4,3,0,1,8,1,0.567,0
S2340,Bullying (Cyber or otherwise) Faculty members/personnel,5,0,3,0,8,1,0.367,1
S2235,Real acts of threat (major/minor) that constitute danger,1,0,0,1,2,1,0.167,1
S0451,Gambling/betting in all forms,3,1,1,1,6,1,0.4,1
S0255,Organizing of groups for purpose of destroying school harmony,1,2,1,1,5,1,0.433,1
S2275,"Introduction of improper, foul or indecent language online",3,2,1,1,7,1,0.5,0
S1800,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",3,0,1,1,5,0,0.3,1
S0730,Colored dyed color/hair/beard,4,0,0,1,5,0,0.267,0
S0748,Engaging in trouble outside the campus endangering others,6,3,0,1,10,1,0.633,1
S2480,Extortion or blackmailing or attempt,4,0,2,0,6,1,0.267,1
S0229,Wearing and using of electronic headset and/or audio devices,1,1,0,1,3,0,0.267,1
S0453,Shoplifting,5,2,1,0,8,1,0.483,0
S0438,Shoplifting,2,3,1,0,6,1,0.483,0
S1683,Engaging in any form of gambling,1,0,1,1,3,1,0.233,0
S2092,Wilful failure to comply with promises or notices,3,1,1,1,6,1,0.4,1
S1380,Gaining access to the school computer or computer system,3,1,1,0,5,1,0.317,0
S1541,"Insubordination to authorities, supervisors, and personnel",1,0,1,0,2,1,0.1,0
S0333,Wearing and using of electronic headset and/or audio devices,3,0,2,1,6,0,0.317,1
S0107,Wearing of improper and other colored PE uniforms,2,1,1,1,5,0,0.367,0
S1010,Unauthorized enrichment or stealing whether attempted or not,3,3,1,1,8,1,0.6,1
S1208,"Wearing of heavy make-up or cosmetics (dark mascara, lipstick)",5,1,0,1,7,0,0.4,0
S0210,Leaving the classroom without permission during class hours,4,1,0,0,5,1,0.283,1
S2338,"Wearing of heavy make-up or cosmetics (dark mascara, lipstick)",6,1,0,1,8,0,0.433,0
S1607,Wilful failure to comply with promises or notices,3,2,0,0,5,1,0.35,1
S0313,"Shouting, yelling boisterously, jeering, dropping materials",5,1,0,1,7,0,0.4,1
S0138,"Falsification of official documents, test papers, records",2,2,1,1,6,1,0.467,1
S2428,"Damage, destruction of network, computer or information system",3,0,0,1,4,1,0.233,1
S2244,Gambling/betting in all forms,1,3,0,0,4,1,0.383,1
S0207,"Smoking, vaping or possession of cigarettes, drinks, etc.",6,0,3,1,10,1,0.483,0
S1396,Forgery,3,0,1,0,4,1,0.167,0
S0642,"A student caught lending, borrowing, using another's ID",2,0,3,0,5,0,0.267,0
S0205,Leaving the classroom without permission during class hours,6,1,1,1,9,1,0.5,0
S1070,Unexcused tardiness/absence from class,4,1,1,1,7,0,0.433,1
S0753,Bullying (Cyber or otherwise) Faculty members/personnel,4,0,1,1,6,1,0.333,0
S0293,Bringing dishonor to the name of school,5,2,1,1,9,1,0.567,1
S2258,"Engaging outside marriage, obscene and immoral conduct",4,0,2,0,6,1,0.267,0
S1925,"Vandalism, destruction of school properties",6,1,0,1,8,1,0.433,1
S1165,Pushing of prohibited drugs,4,0,0,0,4,1,0.183,0
S1517,"Display, possession or distribution of pornographic materials",6,3,0,0,9,1,0.55,1
S0204,Real acts of threat (major/minor) that constitute danger,1,0,1,1,3,1,0.233,0
S0087,"A student caught lending, borrowing, using another's ID",5,2,1,1,9,0,0.567,1
S2355,Cybersecurity breach (plagiarism),5,2,1,1,9,1,0.567,1
S0509,Direct assault on any member of the school community,6,3,0,0,9,1,0.55,1
S1491,Extortion or blackmailing or attempt,1,2,1,1,5,1,0.433,0
S2334,"Introduction of improper, foul or indecent language online",2,0,0,1,3,1,0.2,0
S0269,Bringing outsiders to school during school functions,1,0,2,1,4,1,0.25,0
S0681,Direct assault on any member of the school community,2,0,0,1,3,1,0.15,1
S2104,Bringing outsiders to school for improper purpose,3,0,0,0,3,1,0.15,0
S0351,Unbecoming attitude of an image as Pitikarts such as lewd conduct,6,3,1,0,10,1,0.617,1
S0049,"Littering the campus (candy wrappers, bottles, plastics, etc.)",4,2,0,0,6,0,0.383,1
S1077,Organizing of groups for purpose of destroying school harmony,3,1,1,0,5,1,0.317,1
S1537,Inciting others to violate school regulations or norms,6,1,1,1,9,1,0.5,0
S1143,"Wearing of scarves, patches, caps",3,1,0,1,5,0,0.333,1
S1988,Posing of bikini pictures or other videos/body exposure online,2,0,2,1,5,0,0.283,0
S0581,"Stealing property of the school, students, school personnel",4,0,1,1,6,1,0.333,1
S1492,"Stealing property of the school, students, school personnel",1,1,0,0,2,1,0.183,1
S0249,Not following prescribed hair cut (trendy/punk haircut),1,3,1,1,6,0,0.533,1
S2057,"Display, possession or distribution of pornographic materials",3,1,1,0,5,1,0.317,1
S1948,"Grave threat on any student, personnel or administrator",5,0,1,1,7,1,0.367,1
S1464,Engaging in premarital sex,2,0,0,1,3,1,0.2,0
S1098,"Wearing of heavy make-up or cosmetics (dark mascara, lipstick)",3,0,0,1,4,0,0.233,0
S2137,Conviction for a criminal offense by authorities,3,1,0,1,5,1,0.333,0
S1892,"Shouting, yelling boisterously, jeering, dropping materials",5,2,1,0,8,0,0.483,0
S1309,Cybersecurity breach (plagiarism),6,0,0,0,6,1,0.25,0
S0071,"Purchase, sale or distribution of alcoholic beverages",4,0,1,1,6,1,0.333,1
S0265,Promoting or participating in immoral/indecent conduct,6,1,0,0,7,1,0.35,1
S0106,Lack of respect to faculty/authority,3,0,1,1,5,1,0.25,1
S0923,Bringing outsiders to school for improper purpose,4,3,1,1,9,1,0.633,1
S1017,"Grave threat on any student, personnel or administrator",5,3,1,1,10,1,0.667,1
S0652,Cybersecurity breach (plagiarism),6,2,1,1,10,1,0.6,1
S1678,"Altering information (e.g., changing the password or credentials)",2,3,1,1,7,1,0.567,1
S0390,Gaining access to the school computer or computer system,4,1,1,0,6,1,0.35,1
S2158,"Altering information (e.g., changing the password or credentials)",1,0,1,1,3,1,0.233,0
S0444,Bringing outsiders to school during school functions,5,0,0,0,5,1,0.217,0
S1248,Gambling/betting in all forms,5,0,1,1,7,1,0.317,0
S0542,"Insubordination to authorities, supervisors, and personnel",1,0,0,1,2,1,0.167,0
S2320,Forgery,4,2,0,1,7,1,0.467,0
S1118,Wearing inappropriate/incomplete uniform (No valid reason),3,1,1,0,5,0,0.317,1
S0606,Leaving the classroom without permission during class hours,5,2,0,0,7,1,0.417,0
S1593,Recruitment and/or membership in sororities and fraternities,5,0,1,0,6,1,0.233,0
S1565,Assault fellow students,3,1,0,0,4,1,0.25,0
S0732,Recruitment and/or membership in sororities and fraternities,2,0,0,1,3,1,0.15,0
S1372,Forgery,1,0,3,1,5,1,0.317,1
S1177,"Wearing of scarves, patches, caps",2,0,2,1,5,0,0.283,1
S1983,Engaging in trouble outside the campus endangering others,2,0,0,1,3,1,0.2,0
S1798,Posting below or circulating destructive language or hate speech,1,2,0,1,4,1,0.367,0
S0934,Unbecoming attitude of an image as Pitikarts such as lewd conduct,5,0,2,1,8,1,0.383,0
S0166,"Forging signatures of school authorities, parents, guardians",2,0,1,1,4,1,0.217,0
S0720,Placing of stickers and other objects on school ID,6,3,1,1,11,0,0.7,0
S0967,Conviction for a criminal offense by authorities,2,2,0,0,4,1,0.317,1
S0282,Gambling/betting in all forms,4,2,1,1,8,1,0.533,0
S1653,"Wearing of ripped/distressed jeans, crop top, sleeveless shirt",1,2,1,0,4,0,0.35,1
S0228,"Littering the campus (candy wrappers, bottles, plastics, etc.)",2,3,1,0,6,0,0.483,1
S0804,Verbal or physical altercation between students or personnel,2,1,1,0,4,1,0.283,0
S0773,Providing/financing parties for prohibited drugs,2,1,0,1,4,1,0.3,1
S0892,Bringing outsiders to school for improper purpose,3,3,0,0,6,1,0.45,1
S1350,Membership in sororities and fraternities,1,1,0,0,2,1,0.183,1
S0944,Promoting or participating in immoral/indecent conduct,6,2,1,1,10,1,0.6,0
S0276,Leaving the classroom without permission during class hours,1,0,0,0,1,1,0.083,1
S0393,"Shouting, yelling boisterously, jeering, dropping materials",2,2,1,0,5,0,0.383,1
S1841,Bringing outsiders to school during school functions,2,3,1,1,7,1,0.567,1
S1668,Not following prescribed hair cut (trendy/punk haircut),5,3,0,1,9,0,0.6,1
S1206,Students/fellow students - Physically,1,0,0,1,2,1,0.117,0
S0758,"Damage, destruction of network, computer or information system",1,0,1,0,2,1,0.15,1
S0583,Unauthorized use of information,3,0,1,1,5,1,0.3,0
S1811,Viewing pornographic sites on the Internet/website,1,3,1,1,6,1,0.533,1
S1307,Cybersecurity breach (plagiarism),1,2,0,1,4,1,0.367,1
S0310,Placing of stickers and other objects on school ID,1,3,1,1,6,0,0.533,0
S1891,Gaining access to the school computer or computer system,4,0,1,0,5,1,0.2,0
S1409,"Wearing of scarves, patches, caps",4,0,1,1,6,0,0.333,0
S0294,"Purchase, sale or distribution of alcoholic beverages",5,3,1,1,10,1,0.667,0
S2422,"Littering the campus (candy wrappers, bottles, plastics, etc.)",3,3,1,0,7,0,0.517,1
S1016,"Falsification of official documents, test papers, records",1,3,1,0,5,1,0.45,1
S0563,Gaining access to the school computer or computer system,3,1,0,0,4,1,0.25,1
S0613,Forgery,6,0,0,0,6,1,0.2,0
S1914,"Purchase, sale or distribution of alcoholic beverages",2,3,1,1,7,1,0.567,1
S0006,Engaging in any form of gambling,5,3,0,1,9,1,0.6,1
S2302,"Engaging outside marriage, obscene and immoral conduct",5,1,0,1,7,1,0.4,0
S0315,Wearing inappropriate/incomplete uniform (No valid reason),5,2,1,1,9,0,0.567,1
S1669,Bullying (Cyber or otherwise) Faculty members/personnel,2,1,1,0,4,1,0.283,0
S0440,Colored nail polish,2,0,1,0,3,0,0.183,0
S0607,Leaving the classroom without permission during class hours,4,0,2,0,6,1,0.267,0
S2132,Wearing of school uniform/program uniform improperly,5,0,1,0,6,0,0.233,0
S2314,Viewing pornographic sites on the Internet/website,5,0,3,1,9,1,0.45,1
S2223,"Damage, destruction of network, computer or information system",2,2,1,0,5,1,0.383,1
S0935,Wearing inappropriate/incomplete uniform (No valid reason),5,3,0,1,9,0,0.6,1
S0057,Promoting or participating in immoral/indecent conduct,5,1,0,1,7,1,0.4,0
S2120,Unauthorized use of information,3,2,0,1,6,1,0.433,1
S0890,Circulating destructive language and statement that defames,5,2,1,0,8,1,0.483,1
S1133,Real acts of threat (major/minor) that constitute danger,6,1,0,0,7,1,0.35,1
S1978,"Falsification of official documents, test papers, records",1,0,0,1,2,1,0.167,1
S1075,"Insubordination to authorities, supervisors, and personnel",2,2,1,0,5,1,0.383,0
S0713,Promoting or participating in immoral/indecent conduct,2,0,1,0,3,1,0.183,1
S1918,Engaging in any form of gambling,1,0,3,1,5,1,0.317,0
