student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation,no_violation_count,behavior_ratio,next_repeated_violation
S00089,Jumping over the fence,1,1,1,0,3,1,0.25,1,72,18.0,"Altering Information (e.g., Changing The Password Of Someone Else's Account And Accessed Data/files Beyond Authorization)"
S00090,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",6,2,1,1,10,1,0.6,1,23,2.091,Using Another Person's Identity
S00091,Use of foul language,2,0,0,0,2,0,0.067,0,82,27.333,Engaging In Trouble Outside The Campus Endangering The Name Of School
S00092,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",2,2,0,1,5,1,0.4,0,68,11.333,Pushing Of Prohibited Drugs
S00093,Using another person's identity,4,0,0,1,5,1,0.267,0,49,8.167,Leaving The Classroom Without Permission During Class Hour And School Activity
S00094,Use of foul language,5,0,1,1,7,0,0.317,1,39,4.875,Bringing Outsiders To School For Improper Purpose
S00095,"Grave threat on any student, personnel or administrator",6,0,0,1,7,1,0.333,0,35,4.375,Bringing Outsiders To School For Improper Purpose
S00096,"Possession or use of deadly weapons, explosives, prohibited drugs",1,3,0,0,4,1,0.383,1,52,10.4,Gambling/betting In All Forms
S00097,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),2,0,3,0,5,0,0.267,0,69,11.5,"Introducing False Information, Accessing Someone Else’s Account And Sending Offensive Email, Etc."
S00098,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,4,0,0,0,4,0,0.133,0,66,13.2,Unauthorized Use Of Information
S00099,Gambling/betting in all forms,3,1,0,1,5,1,0.333,0,58,9.667,Leaving The Classroom Without Permission During Class Hour And School Activity
S00100,Using another person's identity,1,3,1,0,5,1,0.45,1,59,9.833,Bringing Outsiders To School During School Function/activity
S00101,"Display, possession or distribution of pornographic materials, downloading and uploading of pornographic pictures",3,1,1,1,6,1,0.4,1,38,5.429,Placing Of Stickers And Other Objects On School Id
S00102,Gambling/betting in all forms,4,2,1,1,8,1,0.533,1,31,3.444,"Cheating In Examinations, Projects, Case Reports And Research Papers Of Others"
S00103,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,5,2,1,0,8,1,0.483,0,30,3.333,Bullying (cyber Or Otherwise) Faculty Members/personnel
S00104,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",5,3,1,1,10,1,0.667,1,10,0.909,"Possession Or Use Of Deadly Weapons, Explosives, Prohibited Drugs"
S00105,Leaving the classroom without permission during class hour and school activity,3,0,0,1,4,1,0.233,0,64,12.8,Using Another Person's Identity
S00106,Promoting or participating in immoral/indecent conduct on or off campus,5,2,0,0,7,1,0.417,1,43,5.375,Gaining Access To The School Computer Or Computer Network
S00107,Wilful and malicious damage of the property of any member of school community,1,1,0,0,2,1,0.183,0,100,33.333,Engaging In Trouble Outside The Campus Endangering The Name Of School
S00108,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",2,3,1,0,6,1,0.483,1,54,7.714,"Direct Assault On The Person Or Any Member Of The Administration, Faculty, Staff, And/or Any Person Vested With Authority"
S00109,Colored nail polish,6,0,1,1,8,0,0.35,1,36,4.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
S00110,Extortion or blackmailing or attempt,5,3,0,1,9,1,0.6,0,23,2.3,Bullying (cyber Or Otherwise) Faculty Members/personnel
S00111,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,1,1,8,0,0.35,0,14,1.556,Preventing Normal Operation (e.g. Changing The Configuration Or Bios Setup Of Computers)
S00112,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,3,0,1,0,4,1,0.217,0,67,13.4,"Damage, Destruction Of Network, Computer Or Information (e.g., Deleting Someone Else's File)"
S00113,Extortion or blackmailing or attempt,4,3,0,1,8,1,0.567,0,33,3.667,Students/fellow Students - Physically
S00114,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,5,1,1,0,7,1,0.383,0,66,8.25,Leaving The Classroom Without Permission During Class Hour And School Activity
S00115,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",5,0,1,1,7,1,0.367,1,41,5.125,Bringing Outsiders To School For Improper Purpose
S00116,Cybersecurity breach (plagiarism),4,0,0,0,4,1,0.183,0,67,13.4,Gaining Access To The School Computer Or Computer Network
S00117,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",2,3,1,0,6,1,0.483,0,52,7.429,Preventing Normal Operation (e.g. Changing The Configuration Or Bios Setup Of Computers)
S00118,Viewing pornographic sites on the Internet/websites in the Computer Laboratory,6,3,0,1,10,1,0.633,1,3,0.273,Preventing Normal Operation (e.g. Changing The Configuration Or Bios Setup Of Computers)
S00119,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",4,0,1,0,5,0,0.2,0,70,11.667,Placing Of Stickers And Other Objects On School Id
S00120,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",5,0,1,0,6,1,0.283,1,57,8.143,Bringing Outsiders To School For Improper Purpose
S00121,Consistent violation of school rules and regulations,3,3,0,1,7,1,0.533,1,49,6.125,Extortion Or Blackmailing Or Attempt
S00122,Real acts of threat (major/minor) that constitute incompatibility,2,3,0,0,5,1,0.417,0,48,8.0,"Smoking, Vaping Or Possession Of Cigarettes, Drinking Hard Drinks Or Liquor In And Outside The School Campus"
S00123,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",4,0,1,1,6,1,0.333,1,66,9.429,Lack Of Respect To Faculty/authority
S00124,Bringing dishonor to the name of school,1,2,1,0,4,1,0.35,1,55,11.0,Bullying (cyber Or Otherwise) Faculty Members/personnel
S00125,"Forging signatures of school authorities, parents, guardians or students",6,2,1,1,10,1,0.6,0,23,2.091,Forgery
S00126,Membership in sororities and fraternities,5,1,1,1,8,1,0.467,1,56,6.222,Students/fellow Students - Physically
S00127,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",1,0,0,1,2,1,0.167,0,74,24.667,"Forging Signatures Of School Authorities, Parents, Guardians Or Students"
S00128,Shoplifting,3,0,0,0,3,1,0.15,0,67,16.75,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
S00129,Wearing of improper and other colored PE uniforms,3,0,0,0,3,0,0.1,1,73,18.25,Indecency In Media
S00130,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,0,0,6,0,0.2,0,40,5.714,Inciting Others To Violate School Regulations Or Not To Attend Classes
S00131,"Cheating in examinations, projects, case reports and research papers of others",1,0,0,0,1,1,0.083,1,75,37.5,Placing Of Stickers And Other Objects On School Id
S00132,Gaining access to the school computer or computer network,5,0,0,0,5,1,0.217,1,55,9.167,"Vandalism, Destruction Of School Properties"
S00133,Wilful failure to comply with promises or notices issued for purposes of investigation in connection with conducted trial of offense,3,3,0,1,7,1,0.533,0,31,3.875,Wilful And Malicious Damage Of The Property Of Any Member Of School Community
S00134,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",3,0,0,0,3,0,0.1,0,77,19.25,"Direct Assault On The Person Or Any Member Of The Administration, Faculty, Staff, And/or Any Person Vested With Authority"
S00135,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",5,0,0,1,6,1,0.3,1,38,5.429,Wilful Failure To Comply With Promises Or Notices Issued For Purposes Of Investigation In Connection With Conducted Trial Of Offense
S00136,"Cheating in examinations, projects, case reports and research papers of others",2,3,0,1,6,1,0.5,1,66,9.429,Assault Fellow Students
S00137,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",5,0,3,0,8,0,0.367,0,32,3.556,Lack Of Respect To Faculty/authority
S00138,Engaging in premarital sex,5,0,0,1,6,1,0.3,1,44,6.286,Use Of Foul Language
S00139,Bullying (Cyber or otherwise) Faculty members/personnel,4,2,1,0,7,1,0.45,1,51,6.375,"Shouting, Yelling Boisterously, Jeering, Dropping Insults And Other Noises During Class Sessions, Corridors, Guidance And Public Places"
S00140,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",6,0,0,0,6,1,0.25,1,33,4.714,Bringing Dishonor To The Name Of School
S00141,Bullying (Cyber or otherwise) Faculty members/personnel,6,3,1,1,11,1,0.7,0,12,1.0,Students/fellow Students - Physically
S00142,Bringing dishonor to the name of school,6,2,0,1,9,1,0.533,1,36,3.6,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
S00143,Leaving the classroom without permission during class hour and school activity,2,1,1,1,5,1,0.367,1,45,7.5,Wilful And Malicious Damage Of The Property Of Any Member Of School Community
S00144,"Grave threat on any student, personnel or administrator",2,0,0,1,3,1,0.2,0,76,19.0,"Possession Or Use Of Deadly Weapons, Explosives, Prohibited Drugs"
S00145,"A student caught lending, borrowing, using another person’s ID/SSP",6,0,3,1,10,0,0.483,0,26,2.364,Extortion Or Blackmailing Or Attempt
S00146,Shoplifting,1,0,0,1,2,1,0.167,1,91,30.333,"Wearing Of Plunging Necklines, Backless, Spaghetti Straps, Indecent Attire"
S00147,Engaging in premarital sex,5,1,1,0,7,1,0.383,1,29,3.625,Consistent Violation Of School Rules And Regulations
S00148,Students/fellow students - Verbally/Written,6,1,1,0,8,1,0.417,1,19,2.111,Wearing And Using Of Electronic Headset And/or Audio/electronic Gadgets And Tools During Class Without Teacher's Permission
S00149,Assault fellow students,3,1,1,0,5,1,0.317,0,65,10.833,Gaining Access To The School Computer Or Computer Network
S00150,Use of foul language,4,0,0,1,5,0,0.217,1,59,9.833,"Unauthorized Enrichment Or Stealing Whether Attempted, Frustrated, Or Consummated"
S00151,Wilful and malicious damage of the property of any member of school community,4,2,0,1,7,1,0.467,0,43,5.375,Indecency In Media
S00152,Forgery,2,3,1,0,6,1,0.483,1,56,8.0,Using Another Person's Identity
S00153,"Falsification of official documents, test papers, clearances and confidential",1,0,1,1,3,1,0.233,1,72,18.0,Posing Of Bikini Pictures Or Other Videos/body Exposure Pictures Or Indecent Body Pictures
S00154,Bullying (Cyber or otherwise) Faculty members/personnel,2,0,1,1,4,1,0.267,1,72,14.4,Leaving The Classroom Without Permission During Class Hour And School Activity
S00155,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",5,0,0,1,6,0,0.25,0,50,7.143,Lack Of Respect To Faculty/authority
S00156,"Stealing property of the school, students, school personnel, and fellow students",1,0,0,1,2,1,0.167,0,76,25.333,Inciting Others To Violate School Regulations Or Not To Attend Classes
S00157,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,2,1,9,0,0.417,1,47,4.7,Promoting Or Participating In Immoral/indecent Conduct On Or Off Campus
S00158,Assault fellow students,6,0,0,0,6,1,0.25,1,50,7.143,"Shouting, Yelling Boisterously, Jeering, Dropping Insults And Other Noises During Class Sessions, Corridors, Guidance And Public Places"
S00159,Real acts of threat (major/minor) that constitute incompatibility,1,1,0,0,2,1,0.183,0,71,23.667,Students/fellow Students - Physically
S00160,"Wearing of school uniform/program uniform improperly (e.g. club shirt, outing, internet places)",4,0,1,1,6,0,0.283,0,58,8.286,Engaging In Any Form Of Gambling
S00161,Promoting or participating in immoral/indecent conduct on or off campus,1,0,0,1,2,1,0.167,0,74,24.667,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
S00162,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),5,0,3,0,8,0,0.367,0,47,5.222,Promoting Or Participating In Immoral/indecent Conduct On Or Off Campus
S00163,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",5,0,2,0,7,0,0.3,0,56,7.0,Conviction For A Criminal Offense By The Administrator's Judgment
S00164,"Cheating in examinations, projects, case reports and research papers of others",2,0,1,0,3,1,0.183,1,68,17.0,"Forging Signatures Of School Authorities, Parents, Guardians Or Students"
S00165,"Possession or use of deadly weapons, explosives, prohibited drugs",6,1,1,0,8,1,0.417,1,42,4.667,"Gross Acts Of Disobedience, Disrespect In Words And In Deeds Which Tend To Put The School Or Any Member Of The Administration, Faculty, Staff And Maintenance Or Students In Ridicule Or Contempt"
S00166,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",6,1,1,0,8,1,0.417,1,37,4.111,"A Student Caught Lending, Borrowing, Using Another Person’s Id/ssp"
S00167,Unauthorized use of information,6,3,0,1,10,1,0.633,1,23,2.091,Students/fellow Students - Physically
S00168,Leaving the classroom without permission during class hour and school activity,4,3,1,0,8,1,0.55,0,53,5.889,Unexcused Tardiness/absence From Class
S00169,Bringing outsiders to school for improper purpose,2,1,0,1,4,1,0.3,1,64,12.8,"Damage, Destruction Of Network, Computer Or Information (e.g., Deleting Someone Else's File)"
S00170,"Vandalism, destruction of school properties",1,3,1,1,6,1,0.533,1,47,6.714,"Wearing Of Scarves, Patches, Caps"
S00171,Using another person's identity,6,0,1,1,8,1,0.4,1,25,2.778,Bringing Dishonor To The Name Of School
